#: table_doi: 10.17182/hepdata.74447.v1/t213
#: name: Table 213
#: description: proton delta5 as a function of pT for centrality: 10-20%.

#: data_file: Table213.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,10-20%
'pT [(GeV/c)]','delta5','stat +','stat -','sys +','sys -'
0.523065,-0.00152302,0.00109128,-0.00109128,-0.000195914,0.000195914
0.702382,0.000158315,0.000737519,-0.000737519,-0.000197517,0.000197517
0.897963,-0.000138413,0.000724391,-0.000724391,-0.00019912,0.00019912
1.09642,0.00178458,0.000801688,-0.000801688,-0.000200723,0.000200723
1.29563,0.00180613,0.000923722,-0.000923722,-0.000202326,0.000202326
1.49606,0.00224968,0.001088,-0.001088,-0.000203928,0.000203928
1.69551,0.00267979,0.00127971,-0.00127971,-0.000205531,0.000205531
1.89542,0.00197263,0.00151591,-0.00151591,-0.000207134,0.000207134
2.0953,0.00219495,0.00181469,-0.00181469,-0.000208737,0.000208737
2.29599,0.00139188,0.00215622,-0.00215622,-0.00021034,0.00021034
2.57792,0.00374225,0.00195388,-0.00195388,-0.000212744,0.000212744
2.97788,0.00474209,0.00271363,-0.00271363,-0.00021595,0.00021595
3.37848,0.00348782,0.00377703,-0.00377703,-0.000219156,0.000219156
3.78082,0.0121988,0.00516423,-0.00516423,-0.000222361,0.000222361
4.37668,0.0137895,0.00528709,-0.00528709,-0.000227971,0.000227971
5.3546,0.0146989,0.0113494,-0.0113494,-0.0276775,0.0276775

