#: table_doi: 10.17182/hepdata.74447.v1/t139
#: name: Table 139
#: description: pion delta2 as a function of pT for centrality: 40-50%.

#: data_file: Table139.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,40-50%
'pT [(GeV/c)]','delta2','stat +','stat -','sys +','sys -'
0.405699,0.00283734,3.39852e-05,-3.39852e-05,-0.000123504,0.000123504
0.593969,0.00436022,3.61304e-05,-3.61304e-05,-0.000165192,0.000165192
0.79382,0.00581595,4.61319e-05,-4.61319e-05,-0.000186608,0.000186608
0.993862,0.00694292,5.83649e-05,-5.83649e-05,-0.000208024,0.000208024
1.19403,0.00801777,7.35172e-05,-7.35172e-05,-0.00022944,0.00022944
1.39407,0.00887128,9.24431e-05,-9.24431e-05,-0.000250856,0.000250856
1.5945,0.00966226,0.000116026,-0.000116026,-0.000272273,0.000272273
1.79459,0.0103316,0.000143734,-0.000143734,-0.000293689,0.000293689
1.9946,0.011198,0.000177806,-0.000177806,-0.000315105,0.000315105
2.19503,0.0118622,0.000219061,-0.000219061,-0.000336521,0.000336521
2.39502,0.0121016,0.000266758,-0.000266758,-0.000357937,0.000357937
2.59533,0.0131376,0.000322433,-0.000322433,-0.000379353,0.000379353
2.79575,0.0140265,0.000383885,-0.000383885,-0.00040077,0.00040077
2.99589,0.0149905,0.000451124,-0.000451124,-0.000422186,0.000422186
3.19627,0.0159799,0.000526923,-0.000526923,-0.000443602,0.000443602
3.39666,0.0162054,0.000604665,-0.000604665,-0.000465018,0.000465018
3.59657,0.0165007,0.000693299,-0.000693299,-0.000486434,0.000486434
3.79698,0.0169358,0.0007907,-0.0007907,-0.00050785,0.00050785
4.085,0.0183214,0.000675006,-0.000675006,-0.000539975,0.000539975
4.48648,0.0193076,0.000845986,-0.000845986,-0.000582807,0.000582807
4.88692,0.0210103,0.00105423,-0.00105423,-0.000625639,0.000625639
5.28891,0.0223439,0.00129744,-0.00129744,-0.000668472,0.000668472
5.68944,0.0232682,0.00157284,-0.00157284,-0.000711304,0.000711304

