#: table_doi: 10.17182/hepdata.74447.v1/t40
#: name: Table 40
#: description: pion <uQ>5 as a function of pT for centrality: 0-1%.

#: data_file: Table40.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,0-1%
'pT [(GeV/c)]','<uQ>5','stat +','stat -','sys +','sys -'
0.413247,-0.0156644,0.00268983,-0.00268983,-0.00328175,0.00328175
0.594128,-0.0225813,0.00246035,-0.00246035,-0.00336464,0.00336464
0.792381,0.00526561,0.00289432,-0.00289432,-0.00358053,0.00358053
0.992111,0.0291442,0.00401071,-0.00401071,-0.00389325,0.00389325
1.19283,0.0537411,0.00557928,-0.00557928,-0.00428223,0.00428223
1.39294,0.0716196,0.00742223,-0.00742223,-0.00472944,0.00472944
1.59339,0.0975458,0.00974959,-0.00974959,-0.0052211,0.0052211
1.79387,0.100371,0.0123125,-0.0123125,-0.00574773,0.00574773
1.99433,0.105936,0.0155498,-0.0155498,-0.00629166,0.00629166
2.19442,0.14093,0.0196139,-0.0196139,-0.00686669,0.00686669
2.47409,0.151781,0.0188033,-0.0188033,-0.00774024,0.00774024
2.87712,0.178301,0.0277722,-0.0277722,-0.00894476,0.00894476
3.2789,0.221034,0.0397679,-0.0397679,-0.0101813,0.0101813
3.67951,0.138408,0.0550822,-0.0550822,-0.0114238,0.0114238
4.28573,0.168959,0.0568372,-0.0568372,-0.0136526,0.0136526
5.30388,0.0337903,0.109805,-0.109805,-0.0168517,0.0168517

