#: table_doi: 10.17182/hepdata.74447.v1/t13
#: name: Table 13
#: description: pion <uQ>2 as a function of pT for centrality: 0-1%.

#: data_file: Table13.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 6.0 (GeV/c)
#: Particle,pion
#: Centrality,0-1%
'pT [(GeV/c)]','<uQ>2','stat +','stat -','sys +','sys -'
0.413247,0.317983,0.00304522,-0.00304522,-0.005375,0.005375
0.594128,0.480632,0.00296588,-0.00296588,-0.00540243,0.00540243
0.792381,0.625692,0.00391462,-0.00391462,-0.00544981,0.00544981
0.992111,0.750072,0.00534776,-0.00534776,-0.005518,0.005518
1.19283,0.854648,0.0072367,-0.0072367,-0.00560516,0.00560516
1.39294,0.95193,0.00959753,-0.00959753,-0.00571061,0.00571061
1.59339,1.00209,0.0125162,-0.0125162,-0.00583571,0.00583571
1.79387,1.07675,0.0161613,-0.0161613,-0.0059751,0.0059751
1.99433,1.09436,0.020594,-0.020594,-0.00613369,0.00613369
2.19442,1.12771,0.0259516,-0.0259516,-0.00630351,0.00630351
2.39473,1.15971,0.0323547,-0.0323547,-0.00648669,0.00648669
2.59486,1.12835,0.0399412,-0.0399412,-0.00667995,0.00667995
2.79526,1.04563,0.0486967,-0.0486967,-0.00689069,0.00689069
2.99544,1.04572,0.0585751,-0.0585751,-0.00711089,0.00711089
3.19574,1.00754,0.0701843,-0.0701843,-0.00733482,0.00733482
3.3956,1.15755,0.0831247,-0.0831247,-0.00757248,0.00757248
3.59581,0.842305,0.098387,-0.098387,-0.00781579,0.00781579
3.79588,1.20489,0.115796,-0.115796,-0.00805797,0.00805797
4.08191,0.911475,0.102236,-0.102236,-0.00845196,0.00845196
4.4827,0.741088,0.136267,-0.136267,-0.00898766,0.00898766
4.88399,0.679709,0.17698,-0.17698,-0.00956296,0.00956296
5.28396,0.42375,0.232002,-0.232002,-0.0101184,0.0101184
5.68665,1.12728,0.28858,-0.28858,-0.0106948,0.0106948

