#: table_doi: 10.17182/hepdata.74447.v1/t46
#: name: Table 46
#: description: proton <uQ>5 as a function of pT for centrality: 0-1%.

#: data_file: Table46.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.4 < pT < 6.0 (GeV/c)
#: Particle,proton
#: Centrality,0-1%
'pT [(GeV/c)]','<uQ>5','stat +','stat -','sys +','sys -'
0.526573,0.0349194,0.0267121,-0.0267121,-0.00664689,0.00664689
0.706597,0.000957595,0.0157966,-0.0157966,-0.00657627,0.00657627
0.902073,-0.00111345,0.0134723,-0.0134723,-0.00656337,0.00656337
1.09998,-0.00345058,0.0129551,-0.0129551,-0.00659651,0.00659651
1.29875,0.00930696,0.0133022,-0.0133022,-0.00667548,0.00667548
1.49825,-0.00719926,0.0143417,-0.0143417,-0.00680688,0.00680688
1.69688,0.0237892,0.0159868,-0.0159868,-0.00697721,0.00697721
1.89632,0.0286448,0.0182704,-0.0182704,-0.00719484,0.00719484
2.09604,0.0618628,0.0213285,-0.0213285,-0.00744019,0.00744019
2.29574,0.0758336,0.0251591,-0.0251591,-0.00772668,0.00772668
2.57682,0.137397,0.0232216,-0.0232216,-0.00821419,0.00821419
2.97526,0.102532,0.0338574,-0.0338574,-0.0089476,0.0089476
3.37514,0.132196,0.050445,-0.050445,-0.00975604,0.00975604
3.7759,0.134135,0.0746698,-0.0746698,-0.0106168,0.0106168
4.36741,0.127226,0.0837198,-0.0837198,-0.0122446,0.0122446
5.36861,0.133811,0.177452,-0.177452,-0.0131566,0.0131566

