#: table_doi: 10.17182/hepdata.74447.v1/t8
#: name: Table 8
#: description: kaon <uQ>4 as a function of pT in pp collision.

#: data_file: Table8.yaml
#: keyword reactions: p p --> CHARGED X
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: ABS(ETA(RF=CMS)),<0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
#: Range,0.3 < pT < 4.0 (GeV/c)
#: Particle,kaon
'pT [(GeV/c)]','<uQ>4','stat +','stat -','sys +','sys -'
0.432718,0.00408461,0.00347617,-0.00347617,-0.0008542,0.0008542
0.602588,0.00503398,0.00199744,-0.00199744,-0.000874006,0.000874006
0.797838,0.00532805,0.00200327,-0.00200327,-0.000893812,0.000893812
0.996625,0.00552948,0.00223091,-0.00223091,-0.000913618,0.000913618
1.19614,0.00967636,0.00255824,-0.00255824,-0.000933424,0.000933424
1.39539,0.0097283,0.00297368,-0.00297368,-0.00095323,0.00095323
1.59558,0.0178572,0.00343902,-0.00343902,-0.000973036,0.000973036
1.79546,0.0165046,0.00407717,-0.00407717,-0.000992842,0.000992842
1.99508,0.0273906,0.00487773,-0.00487773,-0.00101265,0.00101265
2.19541,0.0296274,0.00587706,-0.00587706,-0.00103245,0.00103245
2.39532,0.0295556,0.00711977,-0.00711977,-0.00105226,0.00105226
2.59488,0.0195207,0.00856491,-0.00856491,-0.00107207,0.00107207
2.79488,0.044776,0.0104618,-0.0104618,-0.00109187,0.00109187
3.07595,0.0342291,0.00961393,-0.00961393,-0.00112158,0.00112158
3.47409,0.0607822,0.0139336,-0.0139336,-0.00116119,0.00116119
3.87617,0.058486,0.0203231,-0.0203231,-0.0012008,0.0012008

