,eta,v22,v32,v42
0,-5.0,0.0515704460314,0.0129913494529,0.00763828805543
1,-4.47368421053,0.0536981490222,0.0148233353656,0.00879435774215
2,-3.94736842105,0.0562208506078,0.0169132900983,0.0109128148583
3,-3.42105263158,0.0588218096144,0.0183281819863,0.0115340854032
4,-2.89473684211,0.0612512209779,0.0200790812713,0.0126365421202
5,-2.36842105263,0.0631950285573,0.0209877663144,0.013529874987
6,-1.84210526316,0.0650929889551,0.0218507342695,0.0142322361005
7,-1.31578947368,0.0671155102057,0.0238322561314,0.0154360690954
8,-0.789473684211,0.0697790070324,0.0256428662945,0.0160289815996
9,-0.263157894737,0.0714839507553,0.0270265204592,0.0171023871948
10,0.263157894737,0.0719137853187,0.0271376724694,0.0172012568052
11,0.789473684211,0.0705558792629,0.0257585733236,0.0160339813902
12,1.31578947368,0.067987439486,0.0253807403857,0.0160773755469
13,1.84210526316,0.0654271883989,0.0235126585412,0.0149152279047
14,2.36842105263,0.0637903958229,0.0226891478668,0.0134793801759
15,2.89473684211,0.0617111062983,0.0211669023495,0.0137858639239
16,3.42105263158,0.0592043745456,0.0203081443177,0.0125182170806
17,3.94736842105,0.0566923897019,0.0188337159897,0.010654860327
18,4.47368421053,0.0537215896471,0.0170498912334,0.00849636378404
19,5.0,0.0513332294531,0.0146357749287,0.00744266355501
