,eta,v22,v32,v42
0,-5.0,0.0327620415147,0.0170816971394,0.00919948813378
1,-4.47368421053,0.0347584489645,0.0192912082022,0.0118075732395
2,-3.94736842105,0.037886212801,0.0214465934693,0.012575695769
3,-3.42105263158,0.0395030048387,0.0226437627868,0.0134883214313
4,-2.89473684211,0.0420081007102,0.0240765904129,0.0145125504648
5,-2.36842105263,0.0441072686774,0.0253402677567,0.0155018516347
6,-1.84210526316,0.0453767091249,0.0266236337031,0.0160226718985
7,-1.31578947368,0.047450555849,0.0276603603709,0.0168051628397
8,-0.789473684211,0.0497940004513,0.0290836359077,0.0178424174759
9,-0.263157894737,0.0493436611114,0.0300384160326,0.0180241853681
10,0.263157894737,0.0495906128533,0.0301480587063,0.0183854208044
11,0.789473684211,0.0493090476649,0.0289926508061,0.0173216136168
12,1.31578947368,0.0461906505064,0.0275000989902,0.0170729138954
13,1.84210526316,0.0448899391938,0.0265385914932,0.0160461673456
14,2.36842105263,0.0442729018109,0.0253719307176,0.0157206467731
15,2.89473684211,0.0418648110042,0.0241674224761,0.014316536944
16,3.42105263158,0.0403477184396,0.0226069272708,0.0138716107953
17,3.94736842105,0.038060225532,0.0209952656869,0.0127349303536
18,4.47368421053,0.0347050165618,0.0189424664518,0.0113190351132
19,5.0,0.0333110462462,0.01676526264,0.0092874592393
