# #rapidity dN/dEta
-8.000000000000000000e+00 5.320586140237652806e-02
-7.599999999999999645e+00 1.126216212242598241e-01
-7.200000000000000178e+00 2.420254766968530924e-01
-6.799999999999999822e+00 4.817968265222655755e-01
-6.400000000000000355e+00 8.577999166050915836e-01
-6.000000000000000000e+00 1.338783250785386736e+00
-5.599999999999999645e+00 1.877043314298793897e+00
-5.199999999999999289e+00 2.520956310263222200e+00
-4.799999999999999822e+00 3.324241061888461690e+00
-4.400000000000000355e+00 4.308460011935615341e+00
-4.000000000000000000e+00 5.453244659870546407e+00
-3.599999999999999645e+00 6.668707320718656462e+00
-3.199999999999999289e+00 7.829127163136702094e+00
-2.799999999999999822e+00 8.839293437285746791e+00
-2.399999999999999467e+00 9.597621211653349249e+00
-2.000000000000000000e+00 9.953130861285901076e+00
-1.599999999999999645e+00 9.830995263423655928e+00
-1.199999999999999289e+00 9.309939538499614642e+00
-7.999999999999998224e-01 8.577250159563874377e+00
-3.999999999999994671e-01 7.925411345694340248e+00
0.000000000000000000e+00 7.665538900809078626e+00
4.000000000000003553e-01 7.925341910767270015e+00
8.000000000000007105e-01 8.577286720235978379e+00
1.200000000000001066e+00 9.310038548962515037e+00
1.600000000000001421e+00 9.831017597444844824e+00
2.000000000000000000e+00 9.953046312597296108e+00
2.400000000000000355e+00 9.597435620156394620e+00
2.800000000000000711e+00 8.839130866531721864e+00
3.200000000000001066e+00 7.829311114351519940e+00
3.600000000000001421e+00 6.669154019256644084e+00
4.000000000000000000e+00 5.453490001713897861e+00
4.400000000000000355e+00 4.308423139366572840e+00
4.800000000000000711e+00 3.324258182183377652e+00
5.200000000000001066e+00 2.520729534801597449e+00
5.600000000000001421e+00 1.876921044255872140e+00
6.000000000000000000e+00 1.334604778388203350e+00
6.400000000000000355e+00 8.543293479279062685e-01
6.800000000000000711e+00 4.804702806480941057e-01
7.200000000000001066e+00 2.407930785771130178e-01
7.600000000000001421e+00 1.120202252142651761e-01
8.000000000000000000e+00 5.289203386893528980e-02
