# #PT v1 v2 v3 v4 v5 v6
7.775651001416666874e-03 3.748193376806770155e-06 1.677640679455718323e-05 2.990881134288958715e-08 7.310371227973166950e-08 3.875744650944765920e-08 4.072917254523153690e-08
4.105764502516666414e-02 1.847893705287181497e-05 4.396864788303143793e-04 1.406903860284435998e-07 1.692217771819162237e-07 5.474119932984652207e-08 2.535350922957241063e-08
1.012996176725833308e-01 3.552733694860250397e-05 2.067246347850404745e-03 1.448466035136514516e-06 4.925139215851839145e-06 1.867263463375595421e-08 2.363753712321843965e-08
1.891624605169999751e-01 4.459548525525461446e-05 4.616863888068769260e-03 4.822435496874960255e-06 2.623167166595870487e-05 4.085086600924345941e-07 1.104799837058913296e-07
3.056352268125833160e-01 4.827743891388339316e-05 7.450940697174947627e-03 1.027387044365040912e-05 7.055970327682500008e-05 1.161093378631735067e-06 2.893728770272261903e-07
4.521113856178332613e-01 5.052267450592728943e-05 1.058462177668256267e-02 1.784186605950433530e-05 1.431953788412540355e-04 2.800204483499605606e-06 6.682272250000606565e-07
6.304930188844166672e-01 5.286509017718303197e-05 1.408918765088305360e-02 2.782182607842436785e-05 2.545904571212869089e-04 6.002321840210050335e-06 1.439733168046297331e-06
8.433523806682499124e-01 5.685317990314148266e-05 1.783325028472792714e-02 4.031446097692203338e-05 4.168943810805353020e-04 1.173686980442163645e-05 3.188939740352740336e-06
1.094190206847999836e+00 6.296598340759342657e-05 2.160295178673212260e-02 5.401818142885464328e-05 6.392402507407326595e-04 1.982729433749074631e-05 5.179986954156855533e-06
1.387867309027499996e+00 7.136070367616263494e-05 2.522518371464638198e-02 6.919488227600425058e-05 9.314608275580579452e-04 3.112930409000749419e-05 6.352791576566518840e-06
1.731373241620749903e+00 8.181563957609377523e-05 2.860393240659283090e-02 8.425169510630419823e-05 1.306332837965472077e-03 4.532354168592145257e-05 2.744658137057282118e-06
2.135324518894083035e+00 9.365457299267909653e-05 3.170732437460866554e-02 9.912727211653738022e-05 1.781242435350684694e-03 6.151439124463695617e-05 9.083668815425143637e-06
2.617293264146166365e+00 1.045956852283530872e-04 3.455144879023727689e-02 1.124233295394647309e-04 2.380412398146325957e-03 7.758576053532171472e-05 3.121191921304649643e-05
3.210890275540499772e+00 1.140603072269890636e-04 3.719033398137679136e-02 1.233158302465479786e-04 3.147241203294912429e-03 9.378950369252614372e-05 6.935146377958139664e-05
4.002173797723832749e+00 1.199733873770017441e-04 3.975851714136351828e-02 1.299058895266999765e-04 4.191847936426490451e-03 1.078108257601419998e-04 1.318936701746955566e-04
