# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 3.692552502481178180e+02
4.105764502516666414e-02 3.670056275139270383e+02
1.012996176725833308e-01 3.460673301725253737e+02
1.891624605169999751e-01 2.758771386131023178e+02
3.056352268125833160e-01 1.814387453054283696e+02
4.521113856178332613e-01 1.031773890343118865e+02
6.304930188844166672e-01 5.186076386643173208e+01
8.433523806682499124e-01 2.306545228739051723e+01
1.094190206847999836e+00 9.010301510114528512e+00
1.387867309027499996e+00 3.080151847063165693e+00
1.731373241620749903e+00 9.018329177384331041e-01
2.135324518894083035e+00 2.190483164352873269e-01
2.617293264146166365e+00 4.175712308728905808e-02
3.210890275540499772e+00 5.612155826988266677e-03
4.002173797723832749e+00 4.062550633095562253e-04
