# #PT v1 v2 v3 v4 v5 v6
7.775651001416666874e-03 1.758679521317310115e-06 2.066432398694162796e-06 2.745836727972813490e-07 7.494495629179793451e-07 1.643250974833124282e-06 8.509267084755510639e-07
4.105764502516666414e-02 7.849055242576793022e-06 5.959717208272253457e-05 9.643740184149252461e-07 1.023883784586469621e-06 5.482310906583113758e-07 1.615733938362296871e-06
1.012996176725833308e-01 1.573327596023014121e-05 3.592781603091190997e-04 4.282743045215067556e-07 1.617642977705998015e-07 1.537177814064635300e-07 8.248635328965134258e-07
1.891624605169999751e-01 2.835609399714088911e-05 1.209140945086064570e-03 1.323788869378334146e-06 1.534907391644681789e-06 3.490254032428232724e-07 7.353143143197995293e-07
3.056352268125833160e-01 4.182078680975812349e-05 2.963668313672828195e-03 4.867016870898187540e-06 7.387335190214407275e-06 2.135558714342297383e-07 1.371275943492035650e-07
4.521113856178332613e-01 5.353427795268426509e-05 5.817982442149603577e-03 1.351338253933389652e-05 2.992429862528019801e-05 1.086427955672975685e-06 5.731510328768172778e-07
6.304930188844166672e-01 6.461258969315893824e-05 9.665549737352892995e-03 2.899391678968019811e-05 8.741256698415496155e-05 2.891360062320367909e-06 2.302267370241749950e-06
8.433523806682499124e-01 7.206305265184203787e-05 1.410218233582942633e-02 4.566778579870841898e-05 2.026344398148464195e-04 7.505073979570852870e-06 6.048507124560392543e-06
1.094190206847999836e+00 8.018061054407414113e-05 1.868236612740695538e-02 6.470331096993763291e-05 3.922950738494479029e-04 1.526643776961956496e-05 1.215692023366513309e-05
1.387867309027499996e+00 9.189635198957103756e-05 2.302792473643850910e-02 8.644940035031106100e-05 6.671323083005250513e-04 2.601258370836472176e-05 1.782848735662376601e-05
1.731373241620749903e+00 1.024675407946613241e-04 2.700218441212997450e-02 1.027091249048276735e-04 1.038159321710228856e-03 3.983918300975738231e-05 2.005666848062756139e-05
2.135324518894083035e+00 1.140722418280857561e-04 3.057009179492834253e-02 1.177323527768846126e-04 1.515944227239424298e-03 5.550294067756157966e-05 1.425514547475161098e-05
2.617293264146166365e+00 1.247436321704232631e-04 3.377548290692018035e-02 1.304059731360230939e-04 2.127201385546987136e-03 7.193583361113297064e-05 4.213509003224432521e-06
3.210890275540499772e+00 1.345074315255401188e-04 3.671780705065885719e-02 1.402516400658286090e-04 2.917302503375227007e-03 8.783130889851111954e-05 3.973511621285717282e-05
4.002173797723832749e+00 1.421529647830122056e-04 3.972469999331356555e-02 1.460704713637273630e-04 4.003401373438853807e-03 1.027835372882140638e-04 9.934649542299445191e-05
