# #PT v1 v2 v3 v4 v5 v6
7.775651001416666874e-03 1.366414858726261360e-06 1.930818868682427814e-06 5.980055531257746596e-08 6.107123234509399362e-08 3.638917479651741603e-08 4.254772766806855108e-08
4.105764502516666414e-02 6.748134355473902260e-06 5.263210221154994726e-05 6.976267356228129455e-08 7.708073646451032291e-08 3.608494589628106494e-08 7.259544410404157817e-08
1.012996176725833308e-01 1.634267031479492933e-05 3.185890324281957981e-04 1.591398684518929560e-07 4.870272555374663562e-08 3.061495951576138246e-08 2.473227387319888394e-08
1.891624605169999751e-01 2.817905790928360591e-05 1.086473894380749275e-03 9.013656170768074254e-07 5.908355341368962617e-07 1.757253269178315459e-07 1.233918342380882071e-07
3.056352268125833160e-01 3.943853588391951873e-05 2.699492104831412165e-03 3.599622337888686053e-06 5.417587537205159447e-06 2.384064570992997777e-07 9.638347513927176389e-08
4.521113856178332613e-01 4.652399135188588474e-05 5.404336024538697499e-03 9.620851104172046105e-06 2.314177795120074028e-05 8.270064477574551574e-07 5.403425878053065630e-07
6.304930188844166672e-01 4.938105928894843239e-05 9.160221806603099926e-03 1.946119084020148619e-05 7.308524783345203915e-05 2.916335444930182113e-06 2.124755727704701753e-06
8.433523806682499124e-01 5.189635765842680673e-05 1.360461809246513339e-02 3.290245057975598543e-05 1.779725331556921038e-04 7.701377851924205999e-06 6.095440314022056348e-06
1.094190206847999836e+00 5.718596965443534062e-05 1.824987769105700791e-02 4.877127662216003098e-05 3.578909819306228890e-04 1.600093144904482628e-05 1.190739283291021309e-05
1.387867309027499996e+00 6.619181130524796235e-05 2.271235025151950582e-02 6.560356085901456076e-05 6.261112599919901184e-04 2.780144056759479648e-05 1.771126233075618494e-05
1.731373241620749903e+00 7.793651669792315650e-05 2.679474302648365835e-02 8.255650084050424238e-05 9.934405195622109108e-04 4.280569036710132999e-05 1.896940149910866295e-05
2.135324518894083035e+00 9.096036433088631145e-05 3.044354421190295645e-02 9.879523379639101161e-05 1.473953980107485908e-03 5.977879103978904712e-05 1.145519561527133928e-05
2.617293264146166365e+00 1.037782935635269706e-04 3.369175500943827339e-02 1.132450326656765373e-04 2.088690392776390656e-03 7.743391406889284440e-05 8.568142400781325038e-06
3.210890275540499772e+00 1.143810056214051847e-04 3.662353416179355697e-02 1.248319045242376264e-04 2.877093844462027920e-03 9.451943704914620304e-05 4.633720219517465944e-05
4.002173797723832749e+00 1.213571282384044573e-04 3.940504740997077121e-02 1.314873041612591776e-04 3.949310574293056833e-03 1.088491801271582529e-04 1.103248872039769204e-04
