# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 2.694404789605329498e+01
4.105764502516666414e-02 2.687971192947877341e+01
1.012996176725833308e-01 2.653804186418933142e+01
1.891624605169999751e-01 2.542674373947565769e+01
3.056352268125833160e-01 2.272380181016528411e+01
4.521113856178332613e-01 1.795737001125381127e+01
6.304930188844166672e-01 1.203847368436124832e+01
8.433523806682499124e-01 6.785886388229778632e+00
1.094190206847999836e+00 3.217113908237346109e+00
1.387867309027499996e+00 1.287508271464012477e+00
1.731373241620749903e+00 4.295549211781163335e-01
2.135324518894083035e+00 1.163789817571051904e-01
2.617293264146166365e+00 2.434528970870308145e-02
3.210890275540499772e+00 3.548300752610792155e-03
4.002173797723832749e+00 2.766858633004233743e-04
