# #rapidity dN/dEta
-8.000000000000000000e+00 1.607644447430506829e-01
-7.599999999999999645e+00 3.567645161826513700e-01
-7.200000000000000178e+00 7.661530390353437081e-01
-6.799999999999999822e+00 1.535075128673836442e+00
-6.400000000000000355e+00 2.859134474821299676e+00
-6.000000000000000000e+00 4.732786669392523571e+00
-5.599999999999999645e+00 6.904779429782084144e+00
-5.199999999999999289e+00 9.437500206869428254e+00
-4.799999999999999822e+00 1.263508104179606306e+01
-4.400000000000000355e+00 1.661362561034220064e+01
-4.000000000000000000e+00 2.130732575928332295e+01
-3.599999999999999645e+00 2.643220407446396436e+01
-3.199999999999999289e+00 3.147574129587813374e+01
-2.799999999999999822e+00 3.598010441508134249e+01
-2.399999999999999467e+00 3.959215987621355737e+01
-2.000000000000000000e+00 4.183427165427163885e+01
-1.599999999999999645e+00 4.230990669636275214e+01
-1.199999999999999289e+00 4.115712713296628777e+01
-7.999999999999998224e-01 3.898434150167746992e+01
-3.999999999999994671e-01 3.683692121720189050e+01
0.000000000000000000e+00 3.594797982706554507e+01
4.000000000000003553e-01 3.683661509485849450e+01
8.000000000000007105e-01 3.898449656232860150e+01
1.200000000000001066e+00 4.115745024564184007e+01
1.600000000000001421e+00 4.230988620851420023e+01
2.000000000000000000e+00 4.183387747715062233e+01
2.400000000000000355e+00 3.959142604690607214e+01
2.800000000000000711e+00 3.598001057742952469e+01
3.200000000000001066e+00 3.147695874890337109e+01
3.600000000000001421e+00 2.643382990851469216e+01
4.000000000000000000e+00 2.130824789482428372e+01
4.400000000000000355e+00 1.661388752056496543e+01
4.800000000000000711e+00 1.263572367390346329e+01
5.200000000000001066e+00 9.437746276540881496e+00
5.600000000000001421e+00 6.902164127448838116e+00
6.000000000000000000e+00 4.725492603940095293e+00
6.400000000000000355e+00 2.857438623870086403e+00
6.800000000000000711e+00 1.532033121644035711e+00
7.200000000000001066e+00 7.653534724252303301e-01
7.600000000000001421e+00 3.559549925360045997e-01
8.000000000000000000e+00 1.601508076115769341e-01
