# #rapidity dN/dY
-8.000000000000000000e+00 1.295453542271402143e-02
-7.599999999999999645e+00 1.232137863695861035e-01
-7.200000000000000178e+00 6.648781504678310528e-01
-6.799999999999999822e+00 2.410920552049406584e+00
-6.400000000000000355e+00 6.537981569754792055e+00
-6.000000000000000000e+00 1.384643397351705651e+01
-5.599999999999999645e+00 2.383255074116634731e+01
-5.199999999999999289e+00 3.526560836534559940e+01
-4.799999999999999822e+00 4.915333620607906795e+01
-4.400000000000000355e+00 6.697101741310227396e+01
-4.000000000000000000e+00 8.926735477569847887e+01
-3.599999999999999645e+00 1.151265235198789298e+02
-3.199999999999999289e+00 1.424497746427928462e+02
-2.799999999999999822e+00 1.689065948042164393e+02
-2.399999999999999467e+00 1.929848292703071877e+02
-2.000000000000000000e+00 2.131522162425034992e+02
-1.599999999999999645e+00 2.282138048776067194e+02
-1.199999999999999289e+00 2.380779094286640145e+02
-7.999999999999998224e-01 2.438180508877398154e+02
-3.999999999999994671e-01 2.464361973642540704e+02
0.000000000000000000e+00 2.471147589463413112e+02
4.000000000000003553e-01 2.464349763489451277e+02
8.000000000000007105e-01 2.438184950389158701e+02
1.200000000000001066e+00 2.380787217285372890e+02
1.600000000000001421e+00 2.282129666263319052e+02
2.000000000000000000e+00 2.131506403787720956e+02
2.400000000000000355e+00 1.929838752944745011e+02
2.800000000000000711e+00 1.689098149102977118e+02
3.200000000000001066e+00 1.424568590087131383e+02
3.600000000000001421e+00 1.151321409442554824e+02
4.000000000000000000e+00 8.926977223985898036e+01
4.400000000000000355e+00 6.695759296616458300e+01
4.800000000000000711e+00 4.915096807528154699e+01
5.200000000000001066e+00 3.526178604265411565e+01
5.600000000000001421e+00 2.377666389549123593e+01
6.000000000000000000e+00 1.384220632849120136e+01
6.400000000000000355e+00 6.505900479893310440e+00
6.800000000000000711e+00 2.409408704977122451e+00
7.200000000000001066e+00 6.643298762894045417e-01
7.600000000000001421e+00 1.225849446615470684e-01
8.000000000000000000e+00 1.291525776265345024e-02
