# #PT v1 v2 v3 v4 v5 v6
7.775651001416666874e-03 4.527087546008633555e-06 8.124977031535895018e-07 1.961171199845595307e-06 4.173792095395211574e-06 5.885913189532265481e-06 1.252745803487983000e-06
4.105764502516666414e-02 6.837782101698743067e-06 1.862574340578598817e-05 2.381432813656005098e-06 1.226648693057898177e-05 1.640467467768646237e-06 4.949362627544343027e-07
1.012996176725833308e-01 1.788816546680297790e-05 3.904823566357770010e-04 4.811253954554222382e-07 5.557963505370720959e-06 2.123290158524231385e-06 2.256373086350847504e-06
1.891624605169999751e-01 3.110186118126293089e-05 1.980596400173070294e-03 4.122846297282803400e-06 1.350006332037864200e-05 1.559971714773071072e-06 9.345881210995890712e-07
3.056352268125833160e-01 4.260111476866917176e-05 4.970042603487420663e-03 4.787586261205983742e-06 7.948410548926776583e-06 3.228363455618296224e-07 8.450996629699548005e-07
4.521113856178332613e-01 5.313878852938755610e-05 8.845466967163963246e-03 1.117930302766006390e-05 7.229242199319504513e-05 1.530000540006336246e-06 1.009621535932803629e-06
6.304930188844166672e-01 6.175720121113383964e-05 1.305923370808171995e-02 2.681558671744222865e-05 1.914410236369768826e-04 3.415216514927391293e-06 1.052893640716381631e-07
8.433523806682499124e-01 6.894845988646426910e-05 1.729713253233013462e-02 4.326457094556138198e-05 3.707064783289068630e-04 8.733602983515734679e-06 2.837776807495975485e-06
1.094190206847999836e+00 7.494685664033798062e-05 2.140322154185144918e-02 5.943188934172859096e-05 6.166023593446550008e-04 1.715110625670129566e-05 5.977367396118590157e-06
1.387867309027499996e+00 8.332087967838874810e-05 2.517334595737723280e-02 7.548484297737221649e-05 9.199060645454543335e-04 2.821870237625263844e-05 7.522588254478663126e-06
1.731373241620749903e+00 9.634499766811005625e-05 2.859940354981170205e-02 9.739135115645122386e-05 1.303876388085989813e-03 4.182974965938267525e-05 4.614697622481787363e-06
2.135324518894083035e+00 1.082381541120917704e-04 3.172774551801458426e-02 1.107445075716769042e-04 1.786664683747821039e-03 5.711642452853091354e-05 5.531303203339061105e-06
2.617293264146166365e+00 1.184954901381713517e-04 3.459521363828649970e-02 1.226702867750822674e-04 2.394081064792532177e-03 7.316097660302536148e-05 2.631124852210253780e-05
3.210890275540499772e+00 1.269496121174641451e-04 3.725915493330521355e-02 1.323226816852249895e-04 3.171069399273400251e-03 8.850794770977996767e-05 6.368912192139873738e-05
4.002173797723832749e+00 1.330385423611204609e-04 3.998413500684932370e-02 1.376750788752718728e-04 4.228740491429667722e-03 1.031737242350323341e-04 1.238347256257780994e-04
