# #rapidity dN/dY
-8.000000000000000000e+00 1.381963155424655726e-02
-7.599999999999999645e+00 1.320588496927836974e-01
-7.200000000000000178e+00 7.212375121194612992e-01
-6.799999999999999822e+00 2.657089639703397843e+00
-6.400000000000000355e+00 7.328762186238821918e+00
-6.000000000000000000e+00 1.573919933821597716e+01
-5.599999999999999645e+00 2.749226582241950823e+01
-5.199999999999999289e+00 4.116406935943701484e+01
-4.799999999999999822e+00 5.782597350414068416e+01
-4.400000000000000355e+00 7.902585695911128028e+01
-4.000000000000000000e+00 1.054206841383970499e+02
-3.599999999999999645e+00 1.359793043690007437e+02
-3.199999999999999289e+00 1.682378526079157268e+02
-2.799999999999999822e+00 1.994365217460740780e+02
-2.399999999999999467e+00 2.277829881126279759e+02
-2.000000000000000000e+00 2.515037092899877962e+02
-1.599999999999999645e+00 2.691847228137762613e+02
-1.199999999999999289e+00 2.807522883221347456e+02
-7.999999999999998224e-01 2.874540719302723915e+02
-3.999999999999994671e-01 2.904970104879769224e+02
0.000000000000000000e+00 2.912754010173231904e+02
4.000000000000003553e-01 2.904957189879537509e+02
8.000000000000007105e-01 2.874545889198448094e+02
1.200000000000001066e+00 2.807531742158770385e+02
1.600000000000001421e+00 2.691837062315598814e+02
2.000000000000000000e+00 2.515017958335465948e+02
2.400000000000000355e+00 2.277819608446442032e+02
2.800000000000000711e+00 1.994403766234733837e+02
3.200000000000001066e+00 1.682462141766557693e+02
3.600000000000001421e+00 1.359859614850811340e+02
4.000000000000000000e+00 1.054235159321572297e+02
4.400000000000000355e+00 7.900737149581884466e+01
4.800000000000000711e+00 5.782274058358095914e+01
5.200000000000001066e+00 4.115801308049415752e+01
5.600000000000001421e+00 2.740504806661842352e+01
6.000000000000000000e+00 1.573240290751109960e+01
6.400000000000000355e+00 7.282158948837108348e+00
6.800000000000000711e+00 2.655095089728351621e+00
7.200000000000001066e+00 7.205619029404957132e-01
7.600000000000001421e+00 1.313069511538409173e-01
8.000000000000000000e+00 1.377778819584904099e-02
