# #rapidity dN/dEta
-8.000000000000000000e+00 1.002111628249928443e-01
-7.599999999999999645e+00 2.245426067408761439e-01
-7.200000000000000178e+00 4.806004047782700961e-01
-6.799999999999999822e+00 9.601911789801674812e-01
-6.400000000000000355e+00 1.792892526513070184e+00
-6.000000000000000000e+00 2.956876339798676590e+00
-5.599999999999999645e+00 4.275042084296798883e+00
-5.199999999999999289e+00 5.816210240034078716e+00
-4.799999999999999822e+00 7.813035244728462558e+00
-4.400000000000000355e+00 1.033574361637700001e+01
-4.000000000000000000e+00 1.333486840116571770e+01
-3.599999999999999645e+00 1.663698569244677472e+01
-3.199999999999999289e+00 1.990859536639754879e+01
-2.799999999999999822e+00 2.285269951403378741e+01
-2.399999999999999467e+00 2.525796093540287757e+01
-2.000000000000000000e+00 2.682025258406977386e+01
-1.599999999999999645e+00 2.726011720604435240e+01
-1.199999999999999289e+00 2.665014880486280191e+01
-7.999999999999998224e-01 2.536819182008570550e+01
-3.999999999999994671e-01 2.406052009390931445e+01
0.000000000000000000e+00 2.351090115205476749e+01
4.000000000000003553e-01 2.406027846010117699e+01
8.000000000000007105e-01 2.536830894755313182e+01
1.200000000000001066e+00 2.665038262495012233e+01
1.600000000000001421e+00 2.726009055838852291e+01
2.000000000000000000e+00 2.681998298042746498e+01
2.400000000000000355e+00 2.525747977780921261e+01
2.800000000000000711e+00 2.285261217155455427e+01
3.200000000000001066e+00 1.990941311075393116e+01
3.600000000000001421e+00 1.663805475959977542e+01
4.000000000000000000e+00 1.333551887534724578e+01
4.400000000000000355e+00 1.033584329819600356e+01
4.800000000000000711e+00 7.813053182084041204e+00
5.200000000000001066e+00 5.816160013825953712e+00
5.600000000000001421e+00 4.275757315035268569e+00
6.000000000000000000e+00 2.956885542476973328e+00
6.400000000000000355e+00 1.793654171152581966e+00
6.800000000000000711e+00 9.601994960127223644e-01
7.200000000000001066e+00 4.806057945551562849e-01
7.600000000000001421e+00 2.243294942242693990e-01
8.000000000000000000e+00 1.002126092159976029e-01
