# #rapidity dN/dEta
-8.000000000000000000e+00 5.394238223764488693e-02
-7.599999999999999645e+00 1.141650031924905523e-01
-7.200000000000000178e+00 2.453023307807384312e-01
-6.799999999999999822e+00 4.882417426960578566e-01
-6.400000000000000355e+00 8.691191133991279516e-01
-6.000000000000000000e+00 1.356189534784549178e+00
-5.599999999999999645e+00 1.901244823889293167e+00
-5.199999999999999289e+00 2.553224269099917176e+00
-4.799999999999999822e+00 3.366446953594961933e+00
-4.400000000000000355e+00 4.362782042238017688e+00
-4.000000000000000000e+00 5.521524127398677706e+00
-3.599999999999999645e+00 6.751638723476577120e+00
-3.199999999999999289e+00 7.925919577739124477e+00
-2.799999999999999822e+00 8.947984874559351098e+00
-2.399999999999999467e+00 9.714882957917579276e+00
-2.000000000000000000e+00 1.007378852009047954e+01
-1.599999999999999645e+00 9.949125177006688858e+00
-1.199999999999999289e+00 9.420756519619969183e+00
-7.999999999999998224e-01 8.678403269711685297e+00
-3.999999999999994671e-01 8.018211947180800436e+00
0.000000000000000000e+00 7.755032367284221628e+00
4.000000000000003553e-01 8.018140670599057884e+00
8.000000000000007105e-01 8.678441400278893880e+00
1.200000000000001066e+00 9.420854841653641287e+00
1.600000000000001421e+00 9.949146620824171450e+00
2.000000000000000000e+00 1.007370159245181895e+01
2.400000000000000355e+00 9.714694323868608095e+00
2.800000000000000711e+00 8.947820938570556493e+00
3.200000000000001066e+00 7.926106780615415737e+00
3.600000000000001421e+00 6.752090277500846227e+00
4.000000000000000000e+00 5.521770423148373297e+00
4.400000000000000355e+00 4.362742967196745703e+00
4.800000000000000711e+00 3.366464194406712629e+00
5.200000000000001066e+00 2.552991826717409207e+00
5.600000000000001421e+00 1.901121813452723464e+00
6.000000000000000000e+00 1.351924932760229847e+00
6.400000000000000355e+00 8.655671827501557614e-01
6.800000000000000711e+00 4.868765315879357569e-01
7.200000000000001066e+00 2.440384574699270004e-01
7.600000000000001421e+00 1.135496178163960534e-01
8.000000000000000000e+00 5.361906590133252298e-02
