# #rapidity dN/dY
-8.000000000000000000e+00 1.637550534725551305e-16
-7.599999999999999645e+00 8.734002904539772988e-11
-7.200000000000000178e+00 6.241250091181047335e-07
-6.799999999999999822e+00 2.328058019889322594e-04
-6.400000000000000355e+00 1.094352716633272340e-02
-6.000000000000000000e+00 1.131762716791145373e-01
-5.599999999999999645e+00 3.820803782149445049e-01
-5.199999999999999289e+00 6.584994188331982912e-01
-4.799999999999999822e+00 9.462915454783561442e-01
-4.400000000000000355e+00 1.330365292346210593e+00
-4.000000000000000000e+00 1.821994158162669741e+00
-3.599999999999999645e+00 2.408203834346982930e+00
-3.199999999999999289e+00 3.014504323890967008e+00
-2.799999999999999822e+00 3.573184993056535141e+00
-2.399999999999999467e+00 4.079405577674463323e+00
-2.000000000000000000e+00 4.516982755903284463e+00
-1.599999999999999645e+00 4.819818253864719182e+00
-1.199999999999999289e+00 4.998340199664517591e+00
-7.999999999999998224e-01 5.099489991812010459e+00
-3.999999999999994671e-01 5.139999307206204016e+00
0.000000000000000000e+00 5.149868377167351241e+00
4.000000000000003553e-01 5.139956870017211799e+00
8.000000000000007105e-01 5.099529880709499530e+00
1.200000000000001066e+00 4.998370482431108819e+00
1.600000000000001421e+00 4.819786763707598176e+00
2.000000000000000000e+00 4.516915455014278713e+00
2.400000000000000355e+00 4.079303731142288392e+00
2.800000000000000711e+00 3.573290361678711946e+00
3.200000000000001066e+00 3.014802685968926976e+00
3.600000000000001421e+00 2.408324171984153050e+00
4.000000000000000000e+00 1.822012262746711020e+00
4.400000000000000355e+00 1.330332797674591783e+00
4.800000000000000711e+00 9.462534463028763332e-01
5.200000000000001066e+00 6.584990507878935029e-01
5.600000000000001421e+00 3.820896688459636259e-01
6.000000000000000000e+00 1.131789019064850937e-01
6.400000000000000355e+00 1.094365752596670321e-02
6.800000000000000711e+00 2.328080413164333045e-04
7.200000000000001066e+00 6.241292258557831273e-07
7.600000000000001421e+00 8.733960989184630300e-11
8.000000000000000000e+00 1.637569744702180011e-16
