# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 1.877126880648768008e+02
4.105764502516666414e-02 1.878454268327817545e+02
1.012996176725833308e-01 1.826791970905922540e+02
1.891624605169999751e-01 1.547435813836820273e+02
3.056352268125833160e-01 1.073223917719343632e+02
4.521113856178332613e-01 6.254834407256909401e+01
6.304930188844166672e-01 3.166577766204369127e+01
8.433523806682499124e-01 1.415073930227245391e+01
1.094190206847999836e+00 5.589712914502649177e+00
1.387867309027499996e+00 1.933542644816414802e+00
1.731373241620749903e+00 5.745450378944390035e-01
2.135324518894083035e+00 1.420141095550041532e-01
2.617293264146166365e+00 2.763604988182800926e-02
3.210890275540499772e+00 3.805470678147354277e-03
4.002173797723832749e+00 2.816434600732277654e-04
