# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 1.069336436274004543e+00
4.105764502516666414e-02 1.069355110920906515e+00
1.012996176725833308e-01 1.069295540434432645e+00
1.891624605169999751e-01 1.067626905326110931e+00
3.056352268125833160e-01 1.056809367304804015e+00
4.521113856178332613e-01 1.016187947039384865e+00
6.304930188844166672e-01 9.137608749897400129e-01
8.433523806682499124e-01 7.318644131665238417e-01
1.094190206847999836e+00 4.990779264972888263e-01
1.387867309027499996e+00 2.802248515634001569e-01
1.731373241620749903e+00 1.263482942245583995e-01
2.135324518894083035e+00 4.452118954204436346e-02
2.617293264146166365e+00 1.171978920387927760e-02
3.210890275540499772e+00 2.096950127519437487e-03
4.002173797723832749e+00 1.970066656028873721e-04
