# #rapidity dN/dEta
-8.000000000000000000e+00 3.635970320645241505e-01
-7.599999999999999645e+00 8.073024403106715541e-01
-7.200000000000000178e+00 1.723526828793460863e+00
-6.799999999999999822e+00 3.532354429339334523e+00
-6.400000000000000355e+00 6.741440806431056920e+00
-6.000000000000000000e+00 1.156031550783054307e+01
-5.599999999999999645e+00 1.746338666781474203e+01
-5.199999999999999289e+00 2.387113868286044394e+01
-4.799999999999999822e+00 3.174263499757165974e+01
-4.400000000000000355e+00 4.227147198157042851e+01
-4.000000000000000000e+00 5.558955141219745144e+01
-3.599999999999999645e+00 7.097671356758037575e+01
-3.199999999999999289e+00 8.702737478532628757e+01
-2.799999999999999822e+00 1.022795346984586899e+02
-2.399999999999999467e+00 1.157529201115220303e+02
-2.000000000000000000e+00 1.264448041339916244e+02
-1.599999999999999645e+00 1.332699125400610285e+02
-1.199999999999999289e+00 1.361421372656218978e+02
-7.999999999999998224e-01 1.358882401513151024e+02
-3.999999999999994671e-01 1.341671816362122911e+02
0.000000000000000000e+00 1.332375446372381873e+02
4.000000000000003553e-01 1.341661658322325934e+02
8.000000000000007105e-01 1.358886580874496417e+02
1.200000000000001066e+00 1.361428323148329582e+02
1.600000000000001421e+00 1.332694446913748436e+02
2.000000000000000000e+00 1.264436336573852486e+02
2.400000000000000355e+00 1.157518486520489489e+02
2.800000000000000711e+00 1.022809864984420898e+02
3.200000000000001066e+00 8.703172359463745522e+01
3.600000000000001421e+00 7.098060311178640802e+01
4.000000000000000000e+00 5.559165364141248489e+01
4.400000000000000355e+00 4.227221722162165918e+01
4.800000000000000711e+00 3.174269558577433870e+01
5.200000000000001066e+00 2.387109813426638993e+01
5.600000000000001421e+00 1.746104652808677571e+01
6.000000000000000000e+00 1.156040239732394070e+01
6.400000000000000355e+00 6.755083141255632029e+00
6.800000000000000711e+00 3.532393913079842296e+00
7.200000000000001066e+00 1.723549659304510095e+00
7.600000000000001421e+00 8.073131615360700231e-01
8.000000000000000000e+00 3.636022650179560056e-01
