# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 2.926085129561386999e+00
4.105764502516666414e-02 2.924143577767544855e+00
1.012996176725833308e-01 2.913992904907377390e+00
1.891624605169999751e-01 2.880777878304189521e+00
3.056352268125833160e-01 2.795758018027959313e+00
4.521113856178332613e-01 2.604551974911585521e+00
6.304930188844166672e-01 2.244774090539436884e+00
8.433523806682499124e-01 1.712663121730166438e+00
1.094190206847999836e+00 1.110071674314065282e+00
1.387867309027499996e+00 5.933504358126345801e-01
1.731373241620749903e+00 2.553907445128454912e-01
2.135324518894083035e+00 8.614542089002839853e-02
2.617293264146166365e+00 2.176364032100651380e-02
3.210890275540499772e+00 3.746513288413968416e-03
4.002173797723832749e+00 3.451735995180322744e-04
