# #rapidity dN/dY
-8.000000000000000000e+00 5.997012729627499183e-09
-7.599999999999999645e+00 7.784558715567618196e-06
-7.200000000000000178e+00 1.046708867632383834e-03
-6.799999999999999822e+00 2.968954781907000989e-02
-6.400000000000000355e+00 2.801141333113474352e-01
-6.000000000000000000e+00 1.169738394435827056e+00
-5.599999999999999645e+00 2.654290617924944140e+00
-5.199999999999999289e+00 4.152687015151360406e+00
-4.799999999999999822e+00 5.815741753425782257e+00
-4.400000000000000355e+00 8.082687576977788169e+00
-4.000000000000000000e+00 1.100186536215497313e+01
-3.599999999999999645e+00 1.443105125905036701e+01
-3.199999999999999289e+00 1.801443836311998936e+01
-2.799999999999999822e+00 2.139707866340448916e+01
-2.399999999999999467e+00 2.445623850941657551e+01
-2.000000000000000000e+00 2.705058165917599311e+01
-1.599999999999999645e+00 2.890819666004886201e+01
-1.199999999999999289e+00 3.005953221018193489e+01
-7.999999999999998224e-01 3.070754405484840177e+01
-3.999999999999994671e-01 3.099483846437206580e+01
0.000000000000000000e+00 3.107071003858714420e+01
4.000000000000003553e-01 3.099457164438335610e+01
8.000000000000007105e-01 3.070772415033617264e+01
1.200000000000001066e+00 3.005971663847501674e+01
1.600000000000001421e+00 2.890800873026342543e+01
2.000000000000000000e+00 2.705021422595137537e+01
2.400000000000000355e+00 2.445586021060648108e+01
2.800000000000000711e+00 2.139761889921447491e+01
3.200000000000001066e+00 1.801586193500503441e+01
3.600000000000001421e+00 1.443190437458557263e+01
4.000000000000000000e+00 1.100207152774799546e+01
4.400000000000000355e+00 8.082572840327289398e+00
4.800000000000000711e+00 5.815572894715744567e+00
5.200000000000001066e+00 4.152641335992720784e+00
5.600000000000001421e+00 2.654323684340781142e+00
6.000000000000000000e+00 1.169765029204687501e+00
6.400000000000000355e+00 2.801195783956346719e-01
6.800000000000000711e+00 2.969004598256801131e-02
7.200000000000001066e+00 1.046720792936031187e-03
7.600000000000001421e+00 7.784566904165075905e-06
8.000000000000000000e+00 5.997055955430017536e-09
