# #PT (1/2pi)dN/dYptdpt
7.775651001416666874e-03 2.781429024951341944e+01
4.105764502516666414e-02 2.774671090800021389e+01
1.012996176725833308e-01 2.737291952767206382e+01
1.891624605169999751e-01 2.618139698087320966e+01
3.056352268125833160e-01 2.333207091758610829e+01
4.521113856178332613e-01 1.838016670307352385e+01
6.304930188844166672e-01 1.228589074127381764e+01
8.433523806682499124e-01 6.905316946665441158e+00
1.094190206847999836e+00 3.265334781962145438e+00
1.387867309027499996e+00 1.303394149665407786e+00
1.731373241620749903e+00 4.338011405722799751e-01
2.135324518894083035e+00 1.172707462151608704e-01
2.617293264146166365e+00 2.448825453038711367e-02
3.210890275540499772e+00 3.566233111603601177e-03
4.002173797723832749e+00 2.783943208347054330e-04
