# #rapidity dN/dEta
-8.000000000000000000e+00 6.373282636242254551e-01
-7.599999999999999645e+00 1.406880570235408578e+00
-7.200000000000000178e+00 3.006710974757314414e+00
-6.799999999999999822e+00 6.209735098431227840e+00
-6.400000000000000355e+00 1.204067970185920089e+01
-6.000000000000000000e+00 2.122793038932030640e+01
-5.599999999999999645e+00 3.347807136604324540e+01
-5.199999999999999289e+00 4.794145095026870251e+01
-4.799999999999999822e+00 6.563332989013781571e+01
-4.400000000000000355e+00 8.777469897366945872e+01
-4.000000000000000000e+00 1.146398485833862679e+02
-3.599999999999999645e+00 1.450401289567249705e+02
-3.199999999999999289e+00 1.764279194494582441e+02
-2.799999999999999822e+00 2.060221075146406235e+02
-2.399999999999999467e+00 2.317805776615331297e+02
-2.000000000000000000e+00 2.516673421581936907e+02
-1.599999999999999645e+00 2.638503643319886010e+02
-1.199999999999999289e+00 2.680436282227803417e+02
-7.999999999999998224e-01 2.660137927538382314e+02
-3.999999999999994671e-01 2.613234884081542191e+02
0.000000000000000000e+00 2.589321469906915922e+02
4.000000000000003553e-01 2.613222657123537829e+02
8.000000000000007105e-01 2.660143851359170526e+02
1.200000000000001066e+00 2.680445831293939136e+02
1.600000000000001421e+00 2.638493901338326850e+02
2.000000000000000000e+00 2.516652114343930862e+02
2.400000000000000355e+00 2.317789984657077298e+02
2.800000000000000711e+00 2.060251634036328596e+02
3.200000000000001066e+00 1.764354201152225414e+02
3.600000000000001421e+00 1.450475188995035012e+02
4.000000000000000000e+00 1.146434164853416462e+02
4.400000000000000355e+00 8.776027306324570532e+01
4.800000000000000711e+00 6.562682592632916112e+01
5.200000000000001066e+00 4.793709933212149821e+01
5.600000000000001421e+00 3.341224686522659937e+01
6.000000000000000000e+00 2.120072194028489676e+01
6.400000000000000355e+00 1.203475178343758145e+01
6.800000000000000711e+00 6.188050842886126723e+00
7.200000000000001066e+00 3.002723073733425174e+00
7.600000000000001421e+00 1.405070275732114959e+00
8.000000000000000000e+00 6.363947944462001738e-01
