#: table_doi: 10.17182/hepdata.58994.v1/t53
#: name: Table 53
#: description: Pseudorapidity dependence of V2 for centrality 50-60%.

#: data_file: Table53.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],50.0-60.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.19,0.0987,0.00026,-0.00026,0.00032,-0.00032
-1.79,0.09911,0.0002,-0.0002,0.00025,-0.00025
-1.39,0.10191,0.00014,-0.00014,0.00017,-0.00017
-0.996,0.10416,0.00012,-0.00012,0.00015,-0.00015
-0.597,0.10603,0.00012,-0.00012,0.00014,-0.00014
-0.2,0.10676,0.00011,-0.00011,0.00014,-0.00014
0.198,0.10708,0.00012,-0.00012,0.00014,-0.00014
0.596,0.10609,0.00012,-0.00012,0.00015,-0.00015
0.995,0.10455,0.00013,-0.00013,0.00015,-0.00015
1.39,0.10215,0.00015,-0.00015,0.00018,-0.00018
1.78,0.09971,0.00021,-0.00021,0.00026,-0.00026
2.18,0.09936,0.00026,-0.00026,0.00032,-0.00032

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],50.0-60.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C2)','stat +','stat -','sys +','sys -'
-2.19,0.09562,0.00023,-0.00023,0.00023,-0.00023
-1.79,0.1002,0.00019,-0.00019,0.00019,-0.00019
-1.39,0.10249,0.00014,-0.00014,0.00014,-0.00014
-0.996,0.10511,0.00013,-0.00013,0.00013,-0.00013
-0.597,0.10764,0.00012,-0.00012,0.00012,-0.00012
-0.2,0.109,0.00012,-0.00012,0.00012,-0.00012
0.198,0.10925,0.00012,-0.00012,0.00012,-0.00012
0.596,0.10809,0.00013,-0.00013,0.00013,-0.00013
0.995,0.10598,0.00013,-0.00013,0.00013,-0.00013
1.39,0.10464,0.00015,-0.00015,0.00015,-0.00015
1.78,0.09712,0.00019,-0.00019,0.00019,-0.00019
2.18,0.0955,0.00023,-0.00023,0.00023,-0.00023

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],50.0-60.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C4)','stat +','stat -','sys +','sys -'
-2.19,0.07702,0.00036,-0.00036,0.00036,-0.00036
-1.79,0.08048,0.0003,-0.0003,0.0003,-0.0003
-1.39,0.08186,0.00023,-0.00023,0.00023,-0.00023
-0.996,0.08327,0.00021,-0.00021,0.00021,-0.00021
-0.597,0.08412,0.0002,-0.0002,0.0002,-0.0002
-0.2,0.08516,0.0002,-0.0002,0.0002,-0.0002
0.198,0.08474,0.0002,-0.0002,0.0002,-0.0002
0.596,0.08478,0.00021,-0.00021,0.00021,-0.00021
0.995,0.08391,0.00021,-0.00021,0.00021,-0.00021
1.39,0.08236,0.00024,-0.00024,0.00024,-0.00024
1.78,0.08016,0.0003,-0.0003,0.0003,-0.0003
2.18,0.07953,0.00036,-0.00036,0.00036,-0.00036

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],50.0-60.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=LYZ)'
-2.19,'-'
-1.79,'-'
-1.39,'-'
-0.996,'-'
-0.597,'-'
-0.2,'-'
0.198,'-'
0.596,'-'
0.995,'-'
1.39,'-'
1.78,'-'
2.18,'-'

