#: table_doi: 10.17182/hepdata.58994.v1/t25
#: name: Table 25
#: description: Measurements of the fourth-order elliptic anisotropy parameter using the cumulant method, V2(C4) v PT for the centrality range 5-10%.

#: data_file: Table25.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],5.0-10.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C4)','stat +','stat -','sys +','sys -'
0.351,0.0172,0.00015,-0.00015,0.00118,-0.00118
0.449,0.0222,0.00015,-0.00015,0.00152,-0.00152
0.549,0.0281,0.00017,-0.00017,0.00166,-0.00166
0.694,0.035,0.00014,-0.00014,0.00207,-0.00207
0.894,0.0448,0.00017,-0.00017,0.00265,-0.00265
1.09,0.0509,0.0002,-0.0002,0.00301,-0.00301
1.38,0.0649,0.00021,-0.00021,0.00383,-0.00383
1.76,0.0724,0.00028,-0.00028,0.00428,-0.00428
2.21,0.0847,0.00041,-0.00041,0.005,-0.005
2.71,0.0967,0.00065,-0.00065,0.00571,-0.00571
3.21,0.0963,0.00101,-0.00101,0.00569,-0.00569
3.72,0.09,0.00158,-0.00158,0.00532,-0.00532
4.38,0.0862,0.00196,-0.00196,0.00509,-0.00509
5.41,0.076,0.00375,-0.00375,0.00449,-0.00449
6.76,0.0336,0.00504,-0.00504,0.00198,-0.00198
8.83,0.0237,0.00975,-0.00975,0.0014,-0.0014
10.9,0.0212,0.016,-0.016,0.0013,-0.0013
13.6,0.0089,0.0193,-0.0193,0.0005,-0.0005
18.3,0.0322,0.0314,-0.0314,0.0019,-0.0019

