#: table_doi: 10.17182/hepdata.58994.v1/t32
#: name: Table 32
#: description: Measurements of the fourth-order elliptic anisotropy parameter using the cumulant method, V2(C4) v PT for the centrality range 40-50%.

#: data_file: Table32.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],40.0-50.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C4)','stat +','stat -','sys +','sys -'
0.35,0.03989,0.00019,-0.00019,0.00241,-0.00241
0.449,0.05659,0.0002,-0.0002,0.00342,-0.00342
0.549,0.0717,0.00022,-0.00022,0.00383,-0.00383
0.694,0.09049,0.00019,-0.00019,0.00483,-0.00483
0.893,0.11295,0.00024,-0.00024,0.00603,-0.00603
1.09,0.12985,0.00028,-0.00028,0.00693,-0.00693
1.38,0.15443,0.00028,-0.00028,0.00824,-0.00824
1.76,0.17705,0.0004,-0.0004,0.00945,-0.00945
2.21,0.1914,0.0006,-0.0006,0.0102,-0.0102
2.71,0.1955,0.0009,-0.0009,0.0104,-0.0104
3.22,0.1904,0.0013,-0.0013,0.0102,-0.0102
3.72,0.17325,0.00195,-0.00195,0.00925,-0.00925
4.4,0.16104,0.00224,-0.00224,0.0086,-0.0086
5.42,0.11859,0.00396,-0.00396,0.00633,-0.00633
6.76,0.11818,0.00517,-0.00517,0.00631,-0.00631
8.81,0.0957,0.0101,-0.0101,0.0051,-0.0051
10.8,0.0597,0.0169,-0.0169,0.0032,-0.0032
18.2,0.1423,0.0367,-0.0367,0.0076,-0.0076

