#: table_doi: 10.17182/hepdata.58994.v1/t20
#: name: Table 20
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 35-40%.

#: data_file: Table20.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],35.0-40.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.351,0.0478,0.00013,-0.00013,0.00201,-0.00201
0.449,0.0668,0.00014,-0.00014,0.00281,-0.00281
0.549,0.0838,0.00014,-0.00014,0.00352,-0.00352
0.694,0.1051,0.00012,-0.00012,0.00442,-0.00442
0.894,0.1314,0.00014,-0.00014,0.00553,-0.00553
1.09,0.1517,0.00017,-0.00017,0.00638,-0.00638
1.38,0.188,0.00016,-0.00016,0.00791,-0.00791
1.76,0.2199,0.00025,-0.00025,0.00925,-0.00925
2.21,0.2475,0.0004,-0.0004,0.0104,-0.0104
2.71,0.2614,0.0006,-0.0006,0.011,-0.011
3.22,0.2608,0.0009,-0.0009,0.011,-0.011
4.0,0.2425,0.0014,-0.0014,0.0102,-0.0102
5.42,0.1918,0.00281,-0.00281,0.00807,-0.00807
6.75,0.1934,0.00369,-0.00369,0.00813,-0.00813
8.81,0.1686,0.00707,-0.00707,0.00709,-0.00709
10.9,0.1604,0.0118,-0.0118,0.0067,-0.0067
13.6,0.1766,0.0145,-0.0145,0.0074,-0.0074
18.2,0.2399,0.0255,-0.0255,0.0101,-0.0101

