#: table_doi: 10.17182/hepdata.58994.v1/t59
#: name: Table 59
#: description: PT dependence of V2(EP) for centrality 5-10% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.

#: data_file: Table59.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.2-1.6
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.019609,0.000154,-0.000154,0.000449,-0.000449
0.451,0.026516,0.000143,-0.000143,0.000608,-0.000608
0.55,0.032898,0.000142,-0.000142,0.000493,-0.000493
0.698,0.041447,0.000107,-0.000107,0.000622,-0.000622
0.896,0.051786,0.000122,-0.000122,0.000777,-0.000777
1.09,0.061377,0.000142,-0.000142,0.000921,-0.000921
1.39,0.07266,0.00013,-0.00013,0.00109,-0.00109
1.76,0.08653,0.00021,-0.00021,0.0013,-0.0013
2.21,0.10201,0.00035,-0.00035,0.00153,-0.00153
2.71,0.1122,0.00058,-0.00058,0.00168,-0.00168
3.22,0.11875,0.00094,-0.00094,0.00178,-0.00178

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.6-2.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.017698,0.000253,-0.000253,0.000406,-0.000406
0.451,0.025211,0.000221,-0.000221,0.000578,-0.000578
0.55,0.031988,0.000208,-0.000208,0.00048,-0.00048
0.698,0.041054,0.000146,-0.000146,0.000616,-0.000616
0.896,0.051597,0.000157,-0.000157,0.000774,-0.000774
1.09,0.060872,0.000173,-0.000173,0.000913,-0.000913
1.39,0.07288,0.00015,-0.00015,0.00109,-0.00109
1.76,0.08683,0.00021,-0.00021,0.0013,-0.0013
2.21,0.1017,0.00034,-0.00034,0.00153,-0.00153
2.71,0.11265,0.00056,-0.00056,0.00169,-0.00169
3.22,0.11734,0.00091,-0.00091,0.00176,-0.00176

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),2.0-2.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.019044,0.000329,-0.000329,0.000436,-0.000436
0.451,0.026079,0.000282,-0.000282,0.000598,-0.000598
0.55,0.032104,0.000262,-0.000262,0.000482,-0.000482
0.698,0.041245,0.000182,-0.000182,0.000619,-0.000619
0.896,0.051508,0.000192,-0.000192,0.000773,-0.000773
1.09,0.06086,0.000209,-0.000209,0.000913,-0.000913
1.39,0.07283,0.00018,-0.00018,0.00109,-0.00109
1.76,0.08642,0.00023,-0.00023,0.0013,-0.0013
2.21,0.10163,0.00037,-0.00037,0.00152,-0.00152
2.71,0.11153,0.00062,-0.00062,0.00167,-0.00167
3.22,0.11793,0.00101,-0.00101,0.00177,-0.00177

