#: table_doi: 10.17182/hepdata.58994.v1/t78
#: name: Table 78
#: description: PT dependence of V2(EP) for centrality 70-80% and |eta| ranges 0.0-0.4, 0.4-0.8 and 0.8-1.2.

#: data_file: Table78.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.0-0.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.04045,0.00117,-0.00117,0.00093,-0.00093
0.451,0.05737,0.00123,-0.00123,0.00131,-0.00131
0.55,0.07174,0.00135,-0.00135,0.00164,-0.00164
0.698,0.0903,0.00112,-0.00112,0.00207,-0.00207
0.896,0.11423,0.00141,-0.00141,0.00262,-0.00262
1.09,0.12953,0.00177,-0.00177,0.00297,-0.00297
1.39,0.14945,0.0017,-0.0017,0.00342,-0.00342
1.76,0.16867,0.00264,-0.00264,0.00386,-0.00386
2.21,0.17405,0.0039,-0.0039,0.00399,-0.00399
2.71,0.19219,0.00602,-0.00602,0.0044,-0.0044
3.22,0.19029,0.00892,-0.00892,0.00436,-0.00436

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.4-0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.0419,0.00124,-0.00124,0.00096,-0.00096
0.451,0.05499,0.00128,-0.00128,0.00126,-0.00126
0.55,0.06775,0.00139,-0.00139,0.00155,-0.00155
0.698,0.08768,0.00114,-0.00114,0.00201,-0.00201
0.896,0.10876,0.00143,-0.00143,0.00249,-0.00249
1.09,0.12624,0.00179,-0.00179,0.00289,-0.00289
1.39,0.14517,0.00172,-0.00172,0.00333,-0.00333
1.76,0.16091,0.00268,-0.00268,0.00369,-0.00369
2.21,0.17513,0.00399,-0.00399,0.00401,-0.00401
2.71,0.17299,0.00617,-0.00617,0.00396,-0.00396
3.22,0.16725,0.00916,-0.00916,0.00383,-0.00383

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.8-1.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.03839,0.00134,-0.00134,0.00088,-0.00088
0.451,0.05212,0.00136,-0.00136,0.00119,-0.00119
0.55,0.06562,0.00145,-0.00145,0.0015,-0.0015
0.698,0.0847,0.00117,-0.00117,0.00194,-0.00194
0.896,0.10657,0.00145,-0.00145,0.00244,-0.00244
1.09,0.12583,0.0018,-0.0018,0.00288,-0.00288
1.39,0.14477,0.00173,-0.00173,0.00332,-0.00332
1.76,0.16094,0.00279,-0.00279,0.00369,-0.00369
2.21,0.16482,0.00442,-0.00442,0.00378,-0.00378
2.71,0.17903,0.00683,-0.00683,0.0041,-0.0041
3.22,0.1495,0.0102,-0.0102,0.0034,-0.0034

