#: table_doi: 10.17182/hepdata.58994.v1/t84
#: name: Table 84
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 40-50%.

#: data_file: Table84.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],40.0-50.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.35,0.049499,0.000114,-0.000114,0.000742,-0.000742
0.449,0.066367,0.000116,-0.000116,0.000996,-0.000996
0.549,0.08212,0.00012,-0.00012,0.00123,-0.00123
0.694,0.10275,0.0001,-0.0001,0.00154,-0.00154
0.893,0.12792,0.00012,-0.00012,0.00192,-0.00192
1.09,0.14942,0.00015,-0.00015,0.00224,-0.00224
1.38,0.17434,0.00014,-0.00014,0.00262,-0.00262
1.76,0.20176,0.00022,-0.00022,0.00303,-0.00303
2.21,0.22257,0.00033,-0.00033,0.00334,-0.00334
2.71,0.23124,0.00052,-0.00052,0.00347,-0.00347
3.22,0.22549,0.0008,-0.0008,0.00338,-0.00338
3.72,0.21498,0.00118,-0.00118,0.00322,-0.00322
4.4,0.19176,0.00135,-0.00135,0.00288,-0.00288
5.42,0.15262,0.00237,-0.00237,0.00229,-0.00229
6.76,0.13171,0.00309,-0.00309,0.00198,-0.00198
8.81,0.09643,0.00599,-0.00599,0.00145,-0.00145
10.8,0.0832,0.0101,-0.0101,0.0012,-0.0012
13.6,0.0658,0.0127,-0.0127,0.001,-0.001
18.2,0.0553,0.0215,-0.0215,0.0008,-0.0008

