#: table_doi: 10.17182/hepdata.58994.v1/t21
#: name: Table 21
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 40-50%.

#: data_file: Table21.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],40.0-50.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.35,0.04967,0.00012,-0.00012,0.00208,-0.00208
0.449,0.06999,0.00012,-0.00012,0.00293,-0.00293
0.549,0.08845,0.00013,-0.00013,0.00371,-0.00371
0.694,0.11037,0.00011,-0.00011,0.00462,-0.00462
0.893,0.13814,0.00013,-0.00013,0.00579,-0.00579
1.09,0.15858,0.00016,-0.00016,0.00664,-0.00664
1.38,0.19629,0.00015,-0.00015,0.00822,-0.00822
1.76,0.22721,0.00022,-0.00022,0.00952,-0.00952
2.21,0.2528,0.0003,-0.0003,0.0106,-0.0106
2.71,0.2638,0.0005,-0.0005,0.0111,-0.0111
3.22,0.2606,0.0008,-0.0008,0.0109,-0.0109
4.01,0.2468,0.0013,-0.0013,0.0103,-0.0103
5.42,0.20543,0.0024,-0.0024,0.00861,-0.00861
6.76,0.21011,0.00313,-0.00313,0.0088,-0.0088
8.81,0.1878,0.00611,-0.00611,0.00787,-0.00787
10.8,0.1825,0.0102,-0.0102,0.0076,-0.0076
13.6,0.1985,0.0128,-0.0128,0.0083,-0.0083
18.2,0.3191,0.0222,-0.0222,0.0134,-0.0134

