#: table_doi: 10.17182/hepdata.58994.v1/t76
#: name: Table 76
#: description: PT dependence of V2(EP) for centrality 60-70% and |eta| ranges 0.0-0.4, 0.4-0.8 and 0.8-1.2.

#: data_file: Table76.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.0-0.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.04778,0.000224,-0.000224,0.000717,-0.000717
0.451,0.063827,0.000212,-0.000212,0.000957,-0.000957
0.55,0.08121,0.00021,-0.00021,0.00122,-0.00122
0.698,0.10119,0.00016,-0.00016,0.00152,-0.00152
0.896,0.12708,0.00019,-0.00019,0.00191,-0.00191
1.09,0.14721,0.00023,-0.00023,0.00221,-0.00221
1.39,0.16812,0.00021,-0.00021,0.00252,-0.00252
1.76,0.18761,0.00034,-0.00034,0.00281,-0.00281
2.21,0.19578,0.00058,-0.00058,0.00294,-0.00294
2.71,0.19962,0.00092,-0.00092,0.00299,-0.00299
3.22,0.18853,0.00142,-0.00142,0.00283,-0.00283

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.4-0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.047697,0.000495,-0.000495,0.000715,-0.000715
0.451,0.064997,0.000506,-0.000506,0.000975,-0.000975
0.55,0.07988,0.00054,-0.00054,0.0012,-0.0012
0.698,0.10071,0.00044,-0.00044,0.00151,-0.00151
0.896,0.1245,0.00055,-0.00055,0.00187,-0.00187
1.09,0.14555,0.00068,-0.00068,0.00218,-0.00218
1.39,0.16644,0.00065,-0.00065,0.0025,-0.0025
1.76,0.18608,0.00101,-0.00101,0.00279,-0.00279
2.21,0.19699,0.00151,-0.00151,0.00295,-0.00295
2.71,0.19517,0.00235,-0.00235,0.00293,-0.00293
3.22,0.18238,0.00352,-0.00352,0.00274,-0.00274

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.8-1.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.045865,0.000538,-0.000538,0.000688,-0.000688
0.451,0.063249,0.000537,-0.000537,0.000949,-0.000949
0.55,0.07887,0.00057,-0.00057,0.00118,-0.00118
0.698,0.09888,0.00045,-0.00045,0.00148,-0.00148
0.896,0.1237,0.00055,-0.00055,0.00186,-0.00186
1.09,0.14331,0.00068,-0.00068,0.00215,-0.00215
1.39,0.16329,0.00065,-0.00065,0.00245,-0.00245
1.76,0.18335,0.00105,-0.00105,0.00275,-0.00275
2.21,0.19303,0.00168,-0.00168,0.0029,-0.0029
2.71,0.19174,0.00261,-0.00261,0.00288,-0.00288
3.22,0.1828,0.00391,-0.00391,0.00274,-0.00274

