#: table_doi: 10.17182/hepdata.58994.v1/t81
#: name: Table 81
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 10-20%.

#: data_file: Table81.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],10.0-20.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.254,0.0231,6.2e-05,-6.2e-05,0.000347,-0.000347
0.351,0.0312,5.5e-05,-5.5e-05,0.000468,-0.000468
0.449,0.0407,5.5e-05,-5.5e-05,0.000611,-0.000611
0.549,0.0497,5.8e-05,-5.8e-05,0.000746,-0.000746
0.694,0.062,4.6e-05,-4.6e-05,0.00093,-0.00093
0.894,0.0772,6e-05,-6e-05,0.00116,-0.00116
1.09,0.0906,7e-05,-7e-05,0.00136,-0.00136
1.38,0.107,6e-05,-6e-05,0.00161,-0.00161
1.76,0.127,0.0001,-0.0001,0.00191,-0.00191
2.21,0.147,0.00015,-0.00015,0.00221,-0.00221
2.71,0.162,0.00024,-0.00024,0.00243,-0.00243
3.21,0.169,0.00038,-0.00038,0.00253,-0.00253
3.72,0.166,0.00059,-0.00059,0.00249,-0.00249
4.39,0.15,0.00071,-0.00071,0.00225,-0.00225
5.41,0.121,0.00133,-0.00133,0.00182,-0.00182
6.75,0.09,0.00177,-0.00177,0.00135,-0.00135
8.82,0.0706,0.00339,-0.00339,0.00106,-0.00106
10.9,0.0642,0.00556,-0.00556,0.00096,-0.00096
13.6,0.0343,0.00678,-0.00678,0.00051,-0.00051
18.3,0.0444,0.0113,-0.0113,0.0007,-0.0007

