#: table_doi: 10.17182/hepdata.58994.v1/t37
#: name: Table 37
#: description: Measurements of the elliptic anisotropy parameter using the Lee-Yang zeros method, V2(LYZ) v PT for the centrality range 15-20%.

#: data_file: Table37.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],15.0-20.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=LYZ)','stat +','stat -','sys +','sys -'
0.351,0.029702,0.000114,-0.000114,0.000653,-0.000653
0.449,0.03955,0.000114,-0.000114,0.000869,-0.000869
0.549,0.048385,0.00012,-0.00012,0.000852,-0.000852
0.694,0.06087,0.0001,-0.0001,0.00107,-0.00107
0.894,0.07568,0.00011,-0.00011,0.00133,-0.00133
1.09,0.08902,0.00014,-0.00014,0.00157,-0.00157
1.38,0.10468,0.00013,-0.00013,0.00184,-0.00184
1.76,0.12439,0.0002,-0.0002,0.00219,-0.00219
2.21,0.14294,0.0003,-0.0003,0.00252,-0.00252
2.71,0.1548,0.00048,-0.00048,0.00273,-0.00273
3.21,0.15963,0.00076,-0.00076,0.00281,-0.00281
3.72,0.15453,0.00117,-0.00117,0.00272,-0.00272
4.39,0.13949,0.00141,-0.00141,0.00246,-0.00246
5.41,0.11566,0.00264,-0.00264,0.00204,-0.00204
6.75,0.08497,0.00353,-0.00353,0.0015,-0.0015
8.82,0.07271,0.00683,-0.00683,0.00128,-0.00128
10.9,0.0608,0.0112,-0.0112,0.0011,-0.0011
13.6,0.0376,0.0138,-0.0138,0.0007,-0.0007
18.3,0.0341,0.0226,-0.0226,0.0006,-0.0006

