#: table_doi: 10.17182/hepdata.58994.v1/t24
#: name: Table 24
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 70-80%.

#: data_file: Table24.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],70.0-80.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.35,0.04731,0.00054,-0.00054,0.00274,-0.00274
0.449,0.07226,0.00058,-0.00058,0.00418,-0.00418
0.548,0.09076,0.00064,-0.00064,0.00467,-0.00467
0.693,0.11564,0.00055,-0.00055,0.00595,-0.00595
0.892,0.14678,0.00069,-0.00069,0.00756,-0.00756
1.09,0.17039,0.00085,-0.00085,0.00877,-0.00877
1.38,0.2101,0.0008,-0.0008,0.0108,-0.0108
1.76,0.2466,0.0013,-0.0013,0.0127,-0.0127
2.21,0.2797,0.0018,-0.0018,0.0144,-0.0144
2.72,0.3057,0.0028,-0.0028,0.0157,-0.0157
3.22,0.3291,0.0041,-0.0041,0.0169,-0.0169
4.02,0.3792,0.0061,-0.0061,0.0195,-0.0195
5.42,0.4374,0.011,-0.011,0.0225,-0.0225
6.75,0.5695,0.0143,-0.0143,0.0293,-0.0293

