#: table_doi: 10.17182/hepdata.58994.v1/t35
#: name: Table 35
#: description: Measurements of the elliptic anisotropy parameter using the Lee-Yang zeros method, V2(LYZ) v PT for the centrality range 5-10%.

#: data_file: Table35.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],5.0-10.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=LYZ)','stat +','stat -','sys +','sys -'
0.351,0.017127,0.000186,-0.000186,0.000467,-0.000467
0.449,0.021885,0.000187,-0.000187,0.000597,-0.000597
0.549,0.027288,0.000196,-0.000196,0.00052,-0.00052
0.694,0.034058,0.000156,-0.000156,0.000649,-0.000649
0.894,0.042934,0.000186,-0.000186,0.000818,-0.000818
1.09,0.050088,0.000226,-0.000226,0.000954,-0.000954
1.38,0.05882,0.00021,-0.00021,0.00112,-0.00112
1.76,0.07016,0.00032,-0.00032,0.00134,-0.00134
2.21,0.08049,0.00049,-0.00049,0.00153,-0.00153
2.71,0.08938,0.0008,-0.0008,0.0017,-0.0017
3.21,0.09367,0.00128,-0.00128,0.00178,-0.00178
3.71,0.09326,0.002,-0.002,0.00178,-0.00178
4.38,0.08934,0.00247,-0.00247,0.0017,-0.0017
5.41,0.07599,0.00474,-0.00474,0.00145,-0.00145
6.75,0.03086,0.00637,-0.00637,0.00059,-0.00059
8.83,0.0172,0.0123,-0.0123,0.0003,-0.0003
10.8,0.0336,0.02,-0.02,0.0006,-0.0006
13.6,0.0301,0.0243,-0.0243,0.0006,-0.0006
18.3,0.0443,0.0396,-0.0396,0.0008,-0.0008

