#: table_doi: 10.17182/hepdata.58994.v1/t63
#: name: Table 63
#: description: PT dependence of V2(EP) for centrality 15-20% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.

#: data_file: Table63.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.2-1.6
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.03185,0.000175,-0.000175,0.000478,-0.000478
0.451,0.043095,0.000164,-0.000164,0.000646,-0.000646
0.55,0.053132,0.000164,-0.000164,0.000797,-0.000797
0.698,0.06707,0.00012,-0.00012,0.00101,-0.00101
0.896,0.08414,0.00014,-0.00014,0.00126,-0.00126
1.09,0.09907,0.00017,-0.00017,0.00149,-0.00149
1.39,0.11713,0.00015,-0.00015,0.00176,-0.00176
1.76,0.1385,0.00024,-0.00024,0.00208,-0.00208
2.21,0.16049,0.00042,-0.00042,0.00241,-0.00241
2.71,0.17659,0.00068,-0.00068,0.00265,-0.00265
3.22,0.1804,0.00107,-0.00107,0.00271,-0.00271

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.6-2.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.030878,0.000261,-0.000261,0.000463,-0.000463
0.451,0.042095,0.000229,-0.000229,0.000631,-0.000631
0.55,0.052535,0.000217,-0.000217,0.000788,-0.000788
0.698,0.066587,0.000154,-0.000154,0.000999,-0.000999
0.896,0.08376,0.00017,-0.00017,0.00126,-0.00126
1.09,0.09896,0.00018,-0.00018,0.00148,-0.00148
1.39,0.11758,0.00016,-0.00016,0.00176,-0.00176
1.76,0.13922,0.00022,-0.00022,0.00209,-0.00209
2.21,0.16132,0.00036,-0.00036,0.00242,-0.00242
2.71,0.17596,0.00059,-0.00059,0.00264,-0.00264
3.22,0.17952,0.00095,-0.00095,0.00269,-0.00269

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),2.0-2.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.031331,0.00034,-0.00034,0.00047,-0.00047
0.451,0.04239,0.000294,-0.000294,0.000636,-0.000636
0.55,0.053025,0.000275,-0.000275,0.000795,-0.000795
0.698,0.066558,0.000191,-0.000191,0.000998,-0.000998
0.896,0.08423,0.0002,-0.0002,0.00126,-0.00126
1.09,0.09846,0.00022,-0.00022,0.00148,-0.00148
1.39,0.11721,0.00019,-0.00019,0.00176,-0.00176
1.76,0.13903,0.00025,-0.00025,0.00209,-0.00209
2.21,0.16078,0.00039,-0.00039,0.00241,-0.00241
2.71,0.17503,0.00065,-0.00065,0.00263,-0.00263
3.22,0.17811,0.00105,-0.00105,0.00267,-0.00267

