#: table_doi: 10.17182/hepdata.58994.v1/t27
#: name: Table 27
#: description: Measurements of the fourth-order elliptic anisotropy parameter using the cumulant method, V2(C4) v PT for the centrality range 15-20%.

#: data_file: Table27.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],15.0-20.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C4)','stat +','stat -','sys +','sys -'
0.351,0.0283,0.00011,-0.00011,0.00131,-0.00131
0.449,0.0393,0.00011,-0.00011,0.00181,-0.00181
0.549,0.0488,0.00012,-0.00012,0.00222,-0.00222
0.694,0.0615,0.0001,-0.0001,0.00279,-0.00279
0.894,0.0767,0.00012,-0.00012,0.00348,-0.00348
1.09,0.0904,0.00014,-0.00014,0.0041,-0.0041
1.38,0.109,0.00014,-0.00014,0.00495,-0.00495
1.76,0.1302,0.0002,-0.0002,0.00591,-0.00591
2.21,0.1491,0.0003,-0.0003,0.00677,-0.00677
2.71,0.1611,0.00047,-0.00047,0.00731,-0.00731
3.21,0.1632,0.00073,-0.00073,0.00741,-0.00741
3.72,0.1582,0.00112,-0.00112,0.00718,-0.00718
4.39,0.1486,0.00136,-0.00136,0.00675,-0.00675
5.41,0.1167,0.00254,-0.00254,0.0053,-0.0053
6.75,0.0946,0.0034,-0.0034,0.00429,-0.00429
8.82,0.0649,0.00659,-0.00659,0.00295,-0.00295
10.9,0.0333,0.0108,-0.0108,0.0015,-0.0015
13.6,0.029,0.0133,-0.0133,0.0013,-0.0013
18.3,0.0952,0.0218,-0.0218,0.0043,-0.0043

