#: table_doi: 10.17182/hepdata.58994.v1/t1
#: name: Table 1
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 0-5%.

#: data_file: Table1.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],0.0-5.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.351,0.011801,9.4e-05,-9.4e-05,0.00027,-0.00027
0.449,0.016196,9.4e-05,-9.4e-05,0.000371,-0.000371
0.549,0.020209,9.8e-05,-9.8e-05,0.000303,-0.000303
0.694,0.025271,7.8e-05,-7.8e-05,0.000379,-0.000379
0.894,0.031492,9.3e-05,-9.3e-05,0.000472,-0.000472
1.09,0.037336,0.000111,-0.000111,0.00056,-0.00056
1.38,0.04373,0.000103,-0.000103,0.000656,-0.000656
1.76,0.051548,0.000158,-0.000158,0.000773,-0.000773
2.21,0.060301,0.000245,-0.000245,0.000905,-0.000905
2.71,0.065655,0.000399,-0.000399,0.000985,-0.000985
3.21,0.06829,0.00065,-0.00065,0.00102,-0.00102
3.71,0.07003,0.00102,-0.00102,0.00105,-0.00105
4.38,0.06055,0.00128,-0.00128,0.00091,-0.00091
5.41,0.04444,0.00248,-0.00248,0.00067,-0.00067
6.75,0.02895,0.00335,-0.00335,0.00043,-0.00043
8.83,0.03602,0.00643,-0.00643,0.00054,-0.00054
10.9,0.0208,0.0104,-0.0104,0.0003,-0.0003
13.6,0.0196,0.0126,-0.0126,0.0003,-0.0003
18.3,0.002,0.0206,-0.0206,0.0,-0.0

