#: table_doi: 10.17182/hepdata.58994.v1/t33
#: name: Table 33
#: description: Measurements of the fourth-order elliptic anisotropy parameter using the cumulant method, V2(C4) v PT for the centrality range 50-60%.

#: data_file: Table33.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],50.0-60.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C4)','stat +','stat -','sys +','sys -'
0.35,0.0398,0.00043,-0.00043,0.0024,-0.0024
0.449,0.05627,0.00047,-0.00047,0.0034,-0.0034
0.549,0.06977,0.00052,-0.00052,0.00372,-0.00372
0.693,0.08808,0.00048,-0.00048,0.0047,-0.0047
0.893,0.10958,0.00059,-0.00059,0.00585,-0.00585
1.09,0.12866,0.0007,-0.0007,0.00687,-0.00687
1.38,0.14803,0.00071,-0.00071,0.0079,-0.0079
1.76,0.16348,0.00097,-0.00097,0.00873,-0.00873
2.21,0.17,0.00137,-0.00137,0.00908,-0.00908
2.71,0.16794,0.00208,-0.00208,0.00897,-0.00897
3.22,0.16652,0.0031,-0.0031,0.00889,-0.00889
3.72,0.15772,0.00451,-0.00451,0.00842,-0.00842
4.4,0.13024,0.00508,-0.00508,0.00695,-0.00695
5.42,0.11094,0.00887,-0.00887,0.00592,-0.00592
6.75,0.0953,0.0115,-0.0115,0.0051,-0.0051
8.82,0.1095,0.0225,-0.0225,0.0058,-0.0058
10.9,0.0295,0.0379,-0.0379,0.0016,-0.0016
13.5,0.0388,0.0468,-0.0468,0.0021,-0.0021
18.2,0.0374,0.0836,-0.0836,0.002,-0.002

