#: table_doi: 10.17182/hepdata.58994.v1/t34
#: name: Table 34
#: description: Measurements of the fourth-order elliptic anisotropy parameter using the cumulant method, V2(C4) v PT for the centrality range 60-70%.

#: data_file: Table34.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],60.0-70.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C4)','stat +','stat -','sys +','sys -'
0.35,0.03705,0.00136,-0.00136,0.00253,-0.00253
0.449,0.05106,0.00151,-0.00151,0.00349,-0.00349
0.549,0.06326,0.00172,-0.00172,0.00377,-0.00377
0.693,0.07763,0.00159,-0.00159,0.00463,-0.00463
0.893,0.09433,0.00199,-0.00199,0.00562,-0.00562
1.09,0.10847,0.00238,-0.00238,0.00646,-0.00646
1.38,0.12228,0.00241,-0.00241,0.00729,-0.00729
1.76,0.14183,0.00333,-0.00333,0.00845,-0.00845
2.21,0.1552,0.00468,-0.00468,0.00925,-0.00925
2.72,0.13205,0.007,-0.007,0.00787,-0.00787
3.22,0.1035,0.0103,-0.0103,0.0062,-0.0062
3.72,0.1476,0.0148,-0.0148,0.0088,-0.0088
4.4,0.0625,0.0165,-0.0165,0.0037,-0.0037
5.42,0.1041,0.0285,-0.0285,0.0062,-0.0062
6.75,0.1383,0.0369,-0.0369,0.0082,-0.0082
8.81,0.014,0.0719,-0.0719,0.0008,-0.0008

