#: table_doi: 10.17182/hepdata.58994.v1/t41
#: name: Table 41
#: description: Measurements of the elliptic anisotropy parameter using the Lee-Yang zeros method, V2(LYZ) v PT for the centrality range 35-40%.

#: data_file: Table41.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],35.0-40.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=LYZ)','stat +','stat -','sys +','sys -'
0.351,0.041401,0.000191,-0.000191,0.00091,-0.00091
0.449,0.05525,0.00019,-0.00019,0.00121,-0.00121
0.549,0.06785,0.0002,-0.0002,0.00119,-0.00119
0.694,0.08553,0.00016,-0.00016,0.00151,-0.00151
0.893,0.10585,0.0002,-0.0002,0.00186,-0.00186
1.09,0.12334,0.00024,-0.00024,0.00217,-0.00217
1.38,0.14379,0.00023,-0.00023,0.00253,-0.00253
1.76,0.16681,0.00035,-0.00035,0.00294,-0.00294
2.21,0.18268,0.00052,-0.00052,0.00322,-0.00322
2.71,0.19031,0.00083,-0.00083,0.00335,-0.00335
3.22,0.1884,0.00128,-0.00128,0.00332,-0.00332
3.72,0.17814,0.00191,-0.00191,0.00314,-0.00314
4.39,0.15775,0.00222,-0.00222,0.00278,-0.00278
5.42,0.12227,0.004,-0.004,0.00215,-0.00215
6.75,0.09758,0.00525,-0.00525,0.00172,-0.00172
8.82,0.0924,0.0102,-0.0102,0.0016,-0.0016
10.9,0.0572,0.0168,-0.0168,0.001,-0.001
13.5,0.0502,0.0209,-0.0209,0.0009,-0.0009
18.2,0.0022,0.0357,-0.0357,0.0,-0.0

