#: table_doi: 10.17182/hepdata.58994.v1/t12
#: name: Table 12
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 70-80%.

#: data_file: Table12.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],70.0-80.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.35,0.041136,0.000853,-0.000853,0.000943,-0.000943
0.449,0.05622,0.00089,-0.00089,0.00129,-0.00129
0.548,0.0698,0.00097,-0.00097,0.0016,-0.0016
0.693,0.08902,0.0008,-0.0008,0.00204,-0.00204
0.892,0.11153,0.001,-0.001,0.00256,-0.00256
1.09,0.1279,0.00126,-0.00126,0.00293,-0.00293
1.38,0.14733,0.00121,-0.00121,0.00338,-0.00338
1.76,0.16484,0.00188,-0.00188,0.00378,-0.00378
2.21,0.17458,0.00279,-0.00279,0.004,-0.004
2.72,0.18282,0.00431,-0.00431,0.00419,-0.00419
3.22,0.17906,0.00639,-0.00639,0.0041,-0.0041
3.72,0.17672,0.00913,-0.00913,0.00405,-0.00405
4.4,0.1595,0.0101,-0.0101,0.0037,-0.0037
5.42,0.1503,0.0173,-0.0173,0.0034,-0.0034
6.75,0.1628,0.0226,-0.0226,0.0037,-0.0037
8.81,0.1899,0.045,-0.045,0.0044,-0.0044
10.8,0.1595,0.0756,-0.0756,0.0037,-0.0037
13.6,0.1448,0.0993,-0.0993,0.0033,-0.0033

