#: table_doi: 10.17182/hepdata.58994.v1/t48
#: name: Table 48
#: description: Pseudorapidity dependence of V2 for centrality 20-25%.

#: data_file: Table48.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],20.0-25.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.19,0.07891,0.00015,-0.00015,0.00015,-0.00015
-1.79,0.07785,0.00012,-0.00012,0.00012,-0.00012
-1.39,0.07971,8e-05,-8e-05,8e-05,-8e-05
-0.996,0.08143,7e-05,-7e-05,7e-05,-7e-05
-0.597,0.08241,7e-05,-7e-05,7e-05,-7e-05
-0.2,0.08293,6e-05,-6e-05,6e-05,-6e-05
0.198,0.08294,7e-05,-7e-05,7e-05,-7e-05
0.596,0.08252,7e-05,-7e-05,7e-05,-7e-05
0.995,0.08148,7e-05,-7e-05,7e-05,-7e-05
1.39,0.07995,8e-05,-8e-05,8e-05,-8e-05
1.78,0.07838,0.00012,-0.00012,0.00012,-0.00012
2.18,0.07863,0.00015,-0.00015,0.00015,-0.00015

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],20.0-25.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C2)','stat +','stat -','sys +','sys -'
-2.19,0.0814,0.00032,-0.00032,0.00013,-0.00013
-1.79,0.0833,0.00025,-0.00025,0.00011,-0.00011
-1.39,0.0837,0.00018,-0.00018,8e-05,-8e-05
-0.996,0.0849,0.00015,-0.00015,7e-05,-7e-05
-0.597,0.0862,0.00015,-0.00015,7e-05,-7e-05
-0.2,0.0869,0.00014,-0.00014,7e-05,-7e-05
0.198,0.0872,0.00014,-0.00014,7e-05,-7e-05
0.596,0.0869,0.00015,-0.00015,7e-05,-7e-05
0.995,0.0859,0.00016,-0.00016,7e-05,-7e-05
1.39,0.0855,0.00018,-0.00018,8e-05,-8e-05
1.78,0.08,0.00026,-0.00026,0.00011,-0.00011
2.18,0.0794,0.00033,-0.00033,0.00013,-0.00013

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],20.0-25.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C4)','stat +','stat -','sys +','sys -'
-2.19,0.0686,0.00014,-0.00014,0.00014,-0.00014
-1.79,0.0689,0.00011,-0.00011,0.00011,-0.00011
-1.39,0.069,9e-05,-9e-05,9e-05,-9e-05
-0.996,0.0702,8e-05,-8e-05,8e-05,-8e-05
-0.597,0.0708,7e-05,-7e-05,7e-05,-7e-05
-0.2,0.0712,7e-05,-7e-05,7e-05,-7e-05
0.198,0.0713,7e-05,-7e-05,7e-05,-7e-05
0.596,0.0712,8e-05,-8e-05,8e-05,-8e-05
0.995,0.0707,8e-05,-8e-05,8e-05,-8e-05
1.39,0.0704,9e-05,-9e-05,9e-05,-9e-05
1.78,0.069,0.00011,-0.00011,0.00011,-0.00011
2.18,0.0682,0.00014,-0.00014,0.00014,-0.00014

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],20.0-25.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=LYZ)','stat +','stat -','sys +','sys -'
-2.19,0.07338,0.0002,-0.0002,0.0002,-0.0002
-1.79,0.07334,0.00016,-0.00016,0.00016,-0.00016
-1.39,0.07216,0.00011,-0.00011,0.00011,-0.00011
-0.996,0.07267,9e-05,-9e-05,9e-05,-9e-05
-0.597,0.07341,9e-05,-9e-05,9e-05,-9e-05
-0.2,0.074,9e-05,-9e-05,9e-05,-9e-05
0.198,0.07411,9e-05,-9e-05,9e-05,-9e-05
0.596,0.07373,9e-05,-9e-05,9e-05,-9e-05
0.995,0.07291,0.0001,-0.0001,0.0001,-0.0001
1.39,0.07211,0.00011,-0.00011,0.00011,-0.00011
1.78,0.07256,0.00016,-0.00016,0.00016,-0.00016
2.18,0.07164,0.0002,-0.0002,0.0002,-0.0002

