#: table_doi: 10.17182/hepdata.58994.v1/t30
#: name: Table 30
#: description: Measurements of the fourth-order elliptic anisotropy parameter using the cumulant method, V2(C4) v PT for the centrality range 30-35%.

#: data_file: Table30.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],30.0-35.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C4)','stat +','stat -','sys +','sys -'
0.351,0.0383,0.00015,-0.00015,0.00177,-0.00177
0.449,0.0535,0.00016,-0.00016,0.00247,-0.00247
0.549,0.0675,0.00017,-0.00017,0.00306,-0.00306
0.694,0.0842,0.00014,-0.00014,0.00382,-0.00382
0.894,0.1068,0.00017,-0.00017,0.00485,-0.00485
1.09,0.1251,0.00021,-0.00021,0.00568,-0.00568
1.38,0.1507,0.0002,-0.0002,0.00684,-0.00684
1.76,0.1759,0.00029,-0.00029,0.00799,-0.00799
2.21,0.196,0.00042,-0.00042,0.0089,-0.0089
2.71,0.2063,0.00066,-0.00066,0.00937,-0.00937
3.22,0.2037,0.00102,-0.00102,0.00925,-0.00925
3.72,0.1923,0.00153,-0.00153,0.00873,-0.00873
4.39,0.1693,0.0018,-0.0018,0.00769,-0.00769
5.41,0.1413,0.00326,-0.00326,0.00641,-0.00641
6.76,0.1161,0.00428,-0.00428,0.00527,-0.00527
8.83,0.0786,0.00842,-0.00842,0.00357,-0.00357
10.8,0.0994,0.0139,-0.0139,0.0045,-0.0045
13.6,0.1001,0.0169,-0.0169,0.0045,-0.0045
18.3,0.0407,0.0288,-0.0288,0.0018,-0.0018

