#: table_doi: 10.17182/hepdata.58994.v1/t7
#: name: Table 7
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 30-35%.

#: data_file: Table7.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],30.0-35.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.351,0.044953,0.000111,-0.000111,0.000674,-0.000674
0.449,0.059646,0.000112,-0.000112,0.000895,-0.000895
0.549,0.07387,0.00012,-0.00012,0.00111,-0.00111
0.694,0.09244,9e-05,-9e-05,0.00139,-0.00139
0.894,0.11532,0.00011,-0.00011,0.00173,-0.00173
1.09,0.13567,0.00014,-0.00014,0.00204,-0.00204
1.38,0.15889,0.00013,-0.00013,0.00238,-0.00238
1.76,0.18671,0.0002,-0.0002,0.0028,-0.0028
2.21,0.21085,0.00031,-0.00031,0.00316,-0.00316
2.71,0.22425,0.00049,-0.00049,0.00336,-0.00336
3.21,0.22622,0.00076,-0.00076,0.00339,-0.00339
3.72,0.21765,0.00115,-0.00115,0.00326,-0.00326
4.39,0.19291,0.00134,-0.00134,0.00289,-0.00289
5.42,0.15889,0.0024,-0.0024,0.00238,-0.00238
6.75,0.13088,0.00313,-0.00313,0.00196,-0.00196
8.82,0.08892,0.00606,-0.00606,0.00133,-0.00133
10.9,0.0872,0.0101,-0.0101,0.0013,-0.0013
13.5,0.0809,0.012,-0.012,0.0012,-0.0012
18.3,0.0604,0.0206,-0.0206,0.0009,-0.0009

