#: table_doi: 10.17182/hepdata.58994.v1/t65
#: name: Table 65
#: description: PT dependence of V2(EP) for centrality 20-25% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.

#: data_file: Table65.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.2-1.6
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.03686,0.000175,-0.000175,0.000553,-0.000553
0.451,0.049288,0.000164,-0.000164,0.000739,-0.000739
0.55,0.061268,0.000164,-0.000164,0.000919,-0.000919
0.698,0.07684,0.00012,-0.00012,0.00115,-0.00115
0.896,0.09582,0.00014,-0.00014,0.00144,-0.00144
1.09,0.11352,0.00017,-0.00017,0.0017,-0.0017
1.39,0.13368,0.00015,-0.00015,0.00201,-0.00201
1.76,0.15771,0.00024,-0.00024,0.00237,-0.00237
2.21,0.18118,0.00042,-0.00042,0.00272,-0.00272
2.71,0.19623,0.00068,-0.00068,0.00294,-0.00294
3.22,0.19826,0.00107,-0.00107,0.00297,-0.00297

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.6-2.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.035472,0.000282,-0.000282,0.000532,-0.000532
0.451,0.048473,0.000249,-0.000249,0.000727,-0.000727
0.55,0.060075,0.000237,-0.000237,0.000901,-0.000901
0.698,0.0765,0.00017,-0.00017,0.00115,-0.00115
0.896,0.09565,0.00018,-0.00018,0.00143,-0.00143
1.09,0.11325,0.0002,-0.0002,0.0017,-0.0017
1.39,0.13415,0.00018,-0.00018,0.00201,-0.00201
1.76,0.15804,0.00025,-0.00025,0.00237,-0.00237
2.21,0.18148,0.00039,-0.00039,0.00272,-0.00272
2.71,0.19706,0.00065,-0.00065,0.00296,-0.00296
3.22,0.20029,0.00103,-0.00103,0.003,-0.003

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),2.0-2.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.036206,0.000368,-0.000368,0.000543,-0.000543
0.451,0.049025,0.00032,-0.00032,0.000735,-0.000735
0.55,0.060924,0.0003,-0.0003,0.000914,-0.000914
0.698,0.07694,0.00021,-0.00021,0.00115,-0.00115
0.896,0.09567,0.00022,-0.00022,0.00144,-0.00144
1.09,0.1126,0.00024,-0.00024,0.00169,-0.00169
1.39,0.1334,0.00021,-0.00021,0.002,-0.002
1.76,0.15797,0.00028,-0.00028,0.00237,-0.00237
2.21,0.18064,0.00043,-0.00043,0.00271,-0.00271
2.71,0.19464,0.00072,-0.00072,0.00292,-0.00292
3.22,0.19989,0.00115,-0.00115,0.003,-0.003

