#: table_doi: 10.17182/hepdata.58994.v1/t50
#: name: Table 50
#: description: Pseudorapidity dependence of V2 for centrality 30-35%.

#: data_file: Table50.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],30.0-35.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.19,0.09276,0.00019,-0.00019,0.00019,-0.00019
-1.79,0.09135,0.00015,-0.00015,0.00015,-0.00015
-1.39,0.09398,0.0001,-0.0001,0.0001,-0.0001
-0.996,0.09597,9e-05,-9e-05,9e-05,-9e-05
-0.597,0.0975,8e-05,-8e-05,8e-05,-8e-05
-0.2,0.09769,8e-05,-8e-05,8e-05,-8e-05
0.198,0.09784,8e-05,-8e-05,8e-05,-8e-05
0.596,0.09713,9e-05,-9e-05,9e-05,-9e-05
0.995,0.09595,9e-05,-9e-05,9e-05,-9e-05
1.39,0.09402,0.00011,-0.00011,0.00011,-0.00011
1.78,0.09229,0.00015,-0.00015,0.00015,-0.00015
2.18,0.09226,0.00019,-0.00019,0.00019,-0.00019

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],30.0-35.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C2)','stat +','stat -','sys +','sys -'
-2.19,0.0945,0.00012,-0.00012,0.00016,-0.00016
-1.79,0.0966,0.0001,-0.0001,0.00013,-0.00013
-1.39,0.0976,8e-05,-8e-05,0.0001,-0.0001
-0.996,0.0991,7e-05,-7e-05,9e-05,-9e-05
-0.597,0.1007,7e-05,-7e-05,9e-05,-9e-05
-0.2,0.1016,7e-05,-7e-05,9e-05,-9e-05
0.198,0.1019,7e-05,-7e-05,9e-05,-9e-05
0.596,0.1013,7e-05,-7e-05,9e-05,-9e-05
0.995,0.1,7e-05,-7e-05,9e-05,-9e-05
1.39,0.0996,8e-05,-8e-05,0.0001,-0.0001
1.78,0.0938,0.0001,-0.0001,0.00013,-0.00013
2.18,0.0931,0.00012,-0.00012,0.00016,-0.00016

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],30.0-35.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C4)','stat +','stat -','sys +','sys -'
-2.19,0.0799,0.00017,-0.00017,0.00017,-0.00017
-1.79,0.0798,0.00014,-0.00014,0.00014,-0.00014
-1.39,0.0809,0.00011,-0.00011,0.00011,-0.00011
-0.996,0.0823,0.0001,-0.0001,0.0001,-0.0001
-0.597,0.0831,9e-05,-9e-05,9e-05,-9e-05
-0.2,0.0835,9e-05,-9e-05,9e-05,-9e-05
0.198,0.0837,9e-05,-9e-05,9e-05,-9e-05
0.596,0.0833,0.0001,-0.0001,0.0001,-0.0001
0.995,0.0826,0.0001,-0.0001,0.0001,-0.0001
1.39,0.0822,0.00011,-0.00011,0.00011,-0.00011
1.78,0.0805,0.00014,-0.00014,0.00014,-0.00014
2.18,0.0801,0.00017,-0.00017,0.00017,-0.00017

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],30.0-35.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=LYZ)','stat +','stat -','sys +','sys -'
-2.19,0.08511,0.00026,-0.00026,0.00026,-0.00026
-1.79,0.08449,0.0002,-0.0002,0.0002,-0.0002
-1.39,0.08406,0.00014,-0.00014,0.00014,-0.00014
-0.996,0.08468,0.00012,-0.00012,0.00012,-0.00012
-0.597,0.08559,0.00012,-0.00012,0.00012,-0.00012
-0.2,0.08599,0.00011,-0.00011,0.00011,-0.00011
0.198,0.08607,0.00012,-0.00012,0.00012,-0.00012
0.596,0.08562,0.00012,-0.00012,0.00012,-0.00012
0.995,0.08467,0.00013,-0.00013,0.00013,-0.00013
1.39,0.08335,0.00015,-0.00015,0.00015,-0.00015
1.78,0.08435,0.00021,-0.00021,0.00021,-0.00021
2.18,0.08351,0.00026,-0.00026,0.00026,-0.00026

