#: table_doi: 10.17182/hepdata.58994.v1/t3
#: name: Table 3
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 10-15%.

#: data_file: Table3.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],10.0-15.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.351,0.027008,7.7e-05,-7.7e-05,0.000405,-0.000405
0.449,0.036216,7.7e-05,-7.7e-05,0.000543,-0.000543
0.549,0.044779,8.1e-05,-8.1e-05,0.000672,-0.000672
0.694,0.056155,6.4e-05,-6.4e-05,0.000842,-0.000842
0.894,0.07023,8e-05,-8e-05,0.00105,-0.00105
1.09,0.08285,9e-05,-9e-05,0.00124,-0.00124
1.38,0.09782,9e-05,-9e-05,0.00147,-0.00147
1.76,0.11667,0.00013,-0.00013,0.00175,-0.00175
2.21,0.13555,0.0002,-0.0002,0.00203,-0.00203
2.71,0.14944,0.00033,-0.00033,0.00224,-0.00224
3.21,0.15633,0.00052,-0.00052,0.00234,-0.00234
3.72,0.15386,0.00081,-0.00081,0.00231,-0.00231
4.38,0.14027,0.00099,-0.00099,0.0021,-0.0021
5.41,0.11265,0.00186,-0.00186,0.00169,-0.00169
6.75,0.08185,0.00248,-0.00248,0.00123,-0.00123
8.82,0.06042,0.00474,-0.00474,0.00091,-0.00091
10.9,0.05869,0.00773,-0.00773,0.00088,-0.00088
13.5,0.02522,0.00943,-0.00943,0.00038,-0.00038
18.3,0.0301,0.0159,-0.0159,0.0005,-0.0005

