#: table_doi: 10.17182/hepdata.58994.v1/t8
#: name: Table 8
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 35-40%.

#: data_file: Table8.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],35.0-40.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.351,0.047044,0.000127,-0.000127,0.000706,-0.000706
0.449,0.062887,0.000128,-0.000128,0.000943,-0.000943
0.549,0.07761,0.00014,-0.00014,0.00116,-0.00116
0.694,0.09774,0.00011,-0.00011,0.00147,-0.00147
0.893,0.12157,0.00013,-0.00013,0.00182,-0.00182
1.09,0.14271,0.00016,-0.00016,0.00214,-0.00214
1.38,0.16686,0.00015,-0.00015,0.0025,-0.0025
1.76,0.19519,0.00023,-0.00023,0.00293,-0.00293
2.21,0.2178,0.00036,-0.00036,0.00327,-0.00327
2.71,0.22984,0.00057,-0.00057,0.00345,-0.00345
3.22,0.22913,0.00088,-0.00088,0.00344,-0.00344
3.72,0.21898,0.00131,-0.00131,0.00328,-0.00328
4.39,0.19463,0.00151,-0.00151,0.00292,-0.00292
5.42,0.15595,0.00268,-0.00268,0.00234,-0.00234
6.75,0.12805,0.0035,-0.0035,0.00192,-0.00192
8.82,0.10115,0.00673,-0.00673,0.00152,-0.00152
10.9,0.076,0.011,-0.011,0.0011,-0.0011
13.6,0.0803,0.0139,-0.0139,0.0012,-0.0012
18.2,0.085,0.0234,-0.0234,0.0013,-0.0013

