#: table_doi: 10.17182/hepdata.58994.v1/t77
#: name: Table 77
#: description: PT dependence of V2(EP) for centrality 60-70% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.

#: data_file: Table77.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.2-1.6
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.044443,0.000661,-0.000661,0.000667,-0.000667
0.451,0.061078,0.000635,-0.000635,0.000916,-0.000916
0.55,0.0762,0.00065,-0.00065,0.00114,-0.00114
0.698,0.09759,0.0005,-0.0005,0.00146,-0.00146
0.896,0.12165,0.0006,-0.0006,0.00182,-0.00182
1.09,0.14022,0.00072,-0.00072,0.0021,-0.0021
1.39,0.16215,0.00068,-0.00068,0.00243,-0.00243
1.76,0.1796,0.0011,-0.0011,0.00269,-0.00269
2.21,0.19008,0.00184,-0.00184,0.00285,-0.00285
2.71,0.18773,0.00288,-0.00288,0.00282,-0.00282
3.22,0.1903,0.00435,-0.00435,0.00285,-0.00285

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),1.6-2.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.04195,0.00105,-0.00105,0.00063,-0.00063
0.451,0.061155,0.000953,-0.000953,0.000917,-0.000917
0.55,0.07644,0.00093,-0.00093,0.00115,-0.00115
0.698,0.09569,0.00068,-0.00068,0.00144,-0.00144
0.896,0.11984,0.00076,-0.00076,0.0018,-0.0018
1.09,0.13959,0.00088,-0.00088,0.00209,-0.00209
1.39,0.15922,0.00078,-0.00078,0.00239,-0.00239
1.76,0.17871,0.00112,-0.00112,0.00268,-0.00268
2.21,0.18423,0.00174,-0.00174,0.00276,-0.00276
2.71,0.18866,0.00275,-0.00275,0.00283,-0.00283
3.22,0.1758,0.00416,-0.00416,0.00264,-0.00264

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),2.0-2.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.04421,0.00137,-0.00137,0.00066,-0.00066
0.451,0.06043,0.00123,-0.00123,0.00091,-0.00091
0.55,0.07527,0.00118,-0.00118,0.00113,-0.00113
0.698,0.0944,0.00085,-0.00085,0.00142,-0.00142
0.896,0.11785,0.00092,-0.00092,0.00177,-0.00177
1.09,0.13875,0.00105,-0.00105,0.00208,-0.00208
1.39,0.15613,0.00092,-0.00092,0.00234,-0.00234
1.76,0.17487,0.00124,-0.00124,0.00262,-0.00262
2.21,0.18327,0.0019,-0.0019,0.00275,-0.00275
2.71,0.17972,0.00303,-0.00303,0.0027,-0.0027
3.22,0.17477,0.00461,-0.00461,0.00262,-0.00262

