#: table_doi: 10.17182/hepdata.58994.v1/t19
#: name: Table 19
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 30-35%.

#: data_file: Table19.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],30.0-35.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.351,0.0456,0.00012,-0.00012,0.00192,-0.00192
0.449,0.0634,0.00012,-0.00012,0.00267,-0.00267
0.549,0.0798,0.00013,-0.00013,0.00336,-0.00336
0.694,0.0994,0.0001,-0.0001,0.00418,-0.00418
0.894,0.1247,0.00012,-0.00012,0.00524,-0.00524
1.09,0.1441,0.00015,-0.00015,0.00606,-0.00606
1.38,0.1791,0.00014,-0.00014,0.00753,-0.00753
1.76,0.2104,0.00021,-0.00021,0.00885,-0.00885
2.21,0.2387,0.0003,-0.0003,0.01,-0.01
2.71,0.2543,0.0005,-0.0005,0.0107,-0.0107
3.22,0.2554,0.0008,-0.0008,0.0107,-0.0107
4.0,0.2397,0.0013,-0.0013,0.0101,-0.0101
5.41,0.1876,0.00253,-0.00253,0.00789,-0.00789
6.76,0.1808,0.00331,-0.00331,0.0076,-0.0076
8.83,0.1546,0.00652,-0.00652,0.0065,-0.0065
10.8,0.1598,0.0107,-0.0107,0.0067,-0.0067
13.6,0.1517,0.0131,-0.0131,0.0064,-0.0064
18.3,0.2275,0.0223,-0.0223,0.0096,-0.0096

