#: table_doi: 10.17182/hepdata.58994.v1/t29
#: name: Table 29
#: description: Measurements of the fourth-order elliptic anisotropy parameter using the cumulant method, V2(C4) v PT for the centrality range 25-30%.

#: data_file: Table29.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],25.0-30.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C4)','stat +','stat -','sys +','sys -'
0.351,0.0357,0.00013,-0.00013,0.00165,-0.00165
0.449,0.0496,0.00013,-0.00013,0.00229,-0.00229
0.549,0.0625,0.00014,-0.00014,0.00284,-0.00284
0.694,0.0788,0.00012,-0.00012,0.00358,-0.00358
0.894,0.099,0.00015,-0.00015,0.00449,-0.00449
1.09,0.1149,0.00018,-0.00018,0.00522,-0.00522
1.38,0.1392,0.00017,-0.00017,0.00632,-0.00632
1.76,0.1642,0.00025,-0.00025,0.00745,-0.00745
2.21,0.1839,0.00036,-0.00036,0.00835,-0.00835
2.71,0.1959,0.00057,-0.00057,0.00889,-0.00889
3.21,0.1949,0.00087,-0.00087,0.00885,-0.00885
3.72,0.1849,0.00133,-0.00133,0.00839,-0.00839
4.39,0.173,0.00157,-0.00157,0.00785,-0.00785
5.41,0.1234,0.00288,-0.00288,0.0056,-0.0056
6.76,0.1084,0.0038,-0.0038,0.00492,-0.00492
8.82,0.0943,0.00734,-0.00734,0.00428,-0.00428
10.9,0.1167,0.0121,-0.0121,0.0053,-0.0053
13.5,0.0762,0.0151,-0.0151,0.0035,-0.0035
18.2,0.1526,0.0246,-0.0246,0.0069,-0.0069

