#: table_doi: 10.17182/hepdata.58994.v1/t15
#: name: Table 15
#: description: Measurements of the second-order elliptic anisotropy parameter using the cumulant method, V2(C2) v PT for the centrality range 10-15%.

#: data_file: Table15.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],10.0-15.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=C2)','stat +','stat -','sys +','sys -'
0.351,0.0298,8e-05,-8e-05,0.00125,-0.00125
0.449,0.0403,8e-05,-8e-05,0.0017,-0.0017
0.549,0.0501,8e-05,-8e-05,0.00211,-0.00211
0.694,0.0622,7e-05,-7e-05,0.00262,-0.00262
0.894,0.0776,8e-05,-8e-05,0.00326,-0.00326
1.09,0.0898,0.0001,-0.0001,0.00378,-0.00378
1.38,0.1116,9e-05,-9e-05,0.00469,-0.00469
1.76,0.133,0.00014,-0.00014,0.00559,-0.00559
2.21,0.1543,0.00021,-0.00021,0.00649,-0.00649
2.71,0.17,0.00034,-0.00034,0.00715,-0.00715
3.21,0.1764,0.00054,-0.00054,0.00742,-0.00742
3.98,0.16967,0.00091,-0.00091,0.00714,-0.00714
5.41,0.1327,0.00193,-0.00193,0.00558,-0.00558
6.75,0.1185,0.00258,-0.00258,0.00498,-0.00498
8.83,0.1068,0.00496,-0.00496,0.00449,-0.00449
10.9,0.1033,0.00813,-0.00813,0.00434,-0.00434
13.5,0.0842,0.00988,-0.00988,0.00354,-0.00354
18.3,0.1074,0.0167,-0.0167,0.0045,-0.0045

