#: table_doi: 10.17182/hepdata.58994.v1/t85
#: name: Table 85
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 50-60%.

#: data_file: Table85.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],50.0-60.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.35,0.050499,0.000179,-0.000179,0.000757,-0.000757
0.449,0.06781,0.00018,-0.00018,0.00102,-0.00102
0.549,0.08387,0.0002,-0.0002,0.00126,-0.00126
0.694,0.10501,0.00016,-0.00016,0.00158,-0.00158
0.893,0.13108,0.0002,-0.0002,0.00197,-0.00197
1.09,0.15249,0.00024,-0.00024,0.00229,-0.00229
1.38,0.17602,0.00023,-0.00023,0.00264,-0.00264
1.76,0.19987,0.00036,-0.00036,0.003,-0.003
2.21,0.2165,0.00053,-0.00053,0.00325,-0.00325
2.71,0.21921,0.00084,-0.00084,0.00329,-0.00329
3.22,0.21236,0.00127,-0.00127,0.00319,-0.00319
3.72,0.19793,0.00185,-0.00185,0.00297,-0.00297
4.4,0.17869,0.00208,-0.00208,0.00268,-0.00268
5.42,0.14765,0.00362,-0.00362,0.00221,-0.00221
6.75,0.13477,0.00468,-0.00468,0.00202,-0.00202
8.81,0.10524,0.00907,-0.00907,0.00158,-0.00158
10.9,0.0773,0.0153,-0.0153,0.0012,-0.0012
13.5,0.0612,0.0191,-0.0191,0.0009,-0.0009
18.3,0.0699,0.0338,-0.0338,0.001,-0.001

