#: table_doi: 10.17182/hepdata.58994.v1/t4
#: name: Table 4
#: description: Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 15-20%.

#: data_file: Table4.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],15.0-20.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=EP)','stat +','stat -','sys +','sys -'
0.351,0.032697,8.2e-05,-8.2e-05,0.00049,-0.00049
0.449,0.043779,8.2e-05,-8.2e-05,0.000657,-0.000657
0.549,0.053943,8.6e-05,-8.6e-05,0.000809,-0.000809
0.694,0.06787,7e-05,-7e-05,0.00102,-0.00102
0.894,0.08481,8e-05,-8e-05,0.00127,-0.00127
1.09,0.10013,0.0001,-0.0001,0.0015,-0.0015
1.38,0.11791,9e-05,-9e-05,0.00177,-0.00177
1.76,0.14005,0.00014,-0.00014,0.0021,-0.0021
2.21,0.16173,0.00022,-0.00022,0.00243,-0.00243
2.71,0.17754,0.00035,-0.00035,0.00266,-0.00266
3.21,0.18419,0.00055,-0.00055,0.00276,-0.00276
3.72,0.17995,0.00085,-0.00085,0.0027,-0.0027
4.39,0.16216,0.00102,-0.00102,0.00243,-0.00243
5.41,0.13,0.0019,-0.0019,0.00195,-0.00195
6.75,0.09912,0.00252,-0.00252,0.00149,-0.00149
8.82,0.08184,0.00485,-0.00485,0.00123,-0.00123
10.9,0.07037,0.00798,-0.00798,0.00106,-0.00106
13.6,0.04481,0.00974,-0.00974,0.00067,-0.00067
18.3,0.06,0.0159,-0.0159,0.0009,-0.0009

