#: table_doi: 10.17182/hepdata.58994.v1/t39
#: name: Table 39
#: description: Measurements of the elliptic anisotropy parameter using the Lee-Yang zeros method, V2(LYZ) v PT for the centrality range 25-30%.

#: data_file: Table39.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],25.0-30.0
#: ABS(ETARAP),< 0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(C=LYZ)','stat +','stat -','sys +','sys -'
0.351,0.037636,0.000134,-0.000134,0.000827,-0.000827
0.449,0.05002,0.00014,-0.00014,0.0011,-0.0011
0.549,0.06166,0.00014,-0.00014,0.00109,-0.00109
0.694,0.07695,0.00011,-0.00011,0.00135,-0.00135
0.894,0.09584,0.00014,-0.00014,0.00169,-0.00169
1.09,0.11203,0.00017,-0.00017,0.00197,-0.00197
1.38,0.13158,0.00015,-0.00015,0.00232,-0.00232
1.76,0.15538,0.00024,-0.00024,0.00274,-0.00274
2.21,0.17388,0.00036,-0.00036,0.00306,-0.00306
2.71,0.1855,0.00057,-0.00057,0.00327,-0.00327
3.21,0.18717,0.00089,-0.00089,0.0033,-0.0033
3.72,0.17968,0.00135,-0.00135,0.00316,-0.00316
4.39,0.16048,0.0016,-0.0016,0.00283,-0.00283
5.41,0.12568,0.00293,-0.00293,0.00221,-0.00221
6.76,0.10119,0.00387,-0.00387,0.00178,-0.00178
8.82,0.08153,0.00747,-0.00747,0.00144,-0.00144
10.9,0.0592,0.0123,-0.0123,0.001,-0.001
13.5,0.0735,0.0153,-0.0153,0.0013,-0.0013
18.2,0.0725,0.0252,-0.0252,0.0013,-0.0013

