#: table_doi: 10.17182/hepdata.58994.v1/t74
#: name: Table 74
#: description: PT dependence of V2(EP) for centrality 50-60% and |eta| ranges 0.0-0.4, 0.4-0.8 and 0.8-1.2.

#: data_file: Table74.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.0-0.4
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.050652,0.000218,-0.000218,0.00076,-0.00076
0.451,0.06881,0.000205,-0.000205,0.00103,-0.00103
0.55,0.08445,0.00021,-0.00021,0.00127,-0.00127
0.698,0.10554,0.00016,-0.00016,0.00158,-0.00158
0.896,0.13138,0.00018,-0.00018,0.00197,-0.00197
1.09,0.15301,0.00021,-0.00021,0.0023,-0.0023
1.39,0.17681,0.0002,-0.0002,0.00265,-0.00265
1.76,0.2007,0.00031,-0.00031,0.00301,-0.00301
2.21,0.21666,0.00053,-0.00053,0.00325,-0.00325
2.71,0.22,0.00086,-0.00086,0.0033,-0.0033
3.22,0.21165,0.00136,-0.00136,0.00317,-0.00317

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.4-0.8
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.050328,0.000262,-0.000262,0.000755,-0.000755
0.451,0.06669,0.00027,-0.00027,0.001,-0.001
0.55,0.08326,0.00028,-0.00028,0.00125,-0.00125
0.698,0.10445,0.00023,-0.00023,0.00157,-0.00157
0.896,0.13076,0.00028,-0.00028,0.00196,-0.00196
1.09,0.15195,0.00034,-0.00034,0.00228,-0.00228
1.39,0.17521,0.00033,-0.00033,0.00263,-0.00263
1.76,0.19901,0.00051,-0.00051,0.00299,-0.00299
2.21,0.21634,0.00076,-0.00076,0.00325,-0.00325
2.71,0.21838,0.0012,-0.0012,0.00328,-0.00328
3.22,0.2131,0.00182,-0.00182,0.0032,-0.0032

#: RE,PB PB --> CHARGED X
#: ABS(ETARAP),0.8-1.2
#: SQRT(S)/NUCLEON [GeV],2760.0
'PT [GEV]','V2(V=EP)','stat +','stat -','sys +','sys -'
0.353,0.049267,0.000285,-0.000285,0.000739,-0.000739
0.451,0.06682,0.00028,-0.00028,0.001,-0.001
0.55,0.08187,0.00029,-0.00029,0.00123,-0.00123
0.698,0.10386,0.00023,-0.00023,0.00156,-0.00156
0.896,0.12905,0.00028,-0.00028,0.00194,-0.00194
1.09,0.15046,0.00035,-0.00035,0.00226,-0.00226
1.39,0.17417,0.00033,-0.00033,0.00261,-0.00261
1.76,0.19717,0.00053,-0.00053,0.00296,-0.00296
2.21,0.21432,0.00085,-0.00085,0.00321,-0.00321
2.71,0.21721,0.00134,-0.00134,0.00326,-0.00326
3.22,0.20814,0.00202,-0.00202,0.00312,-0.00312

