#: table_doi: 10.17182/hepdata.58994.v1/t52
#: name: Table 52
#: description: Pseudorapidity dependence of V2 for centrality 40-50%.

#: data_file: Table52.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],40.0-50.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP','V2(V=EP)','stat +','stat -','sys +','sys -'
-2.19,0.09992,0.0002,-0.0002,0.0002,-0.0002
-1.79,0.09974,0.00016,-0.00016,0.00016,-0.00016
-1.39,0.10218,0.00011,-0.00011,0.00011,-0.00011
-0.996,0.10414,9e-05,-9e-05,9e-05,-9e-05
-0.597,0.10574,9e-05,-9e-05,9e-05,-9e-05
-0.2,0.10667,9e-05,-9e-05,9e-05,-9e-05
0.198,0.10639,9e-05,-9e-05,9e-05,-9e-05
0.596,0.10564,9e-05,-9e-05,9e-05,-9e-05
0.995,0.10432,0.0001,-0.0001,0.0001,-0.0001
1.39,0.10209,0.00011,-0.00011,0.00011,-0.00011
1.78,0.10015,0.00016,-0.00016,0.00016,-0.00016
2.18,0.09999,0.0002,-0.0002,0.0002,-0.0002

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],40.0-50.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C2)','stat +','stat -','sys +','sys -'
-2.19,0.09916,0.00014,-0.00014,0.00016,-0.00016
-1.79,0.10257,0.00011,-0.00011,0.00013,-0.00013
-1.39,0.10418,9e-05,-9e-05,0.0001,-0.0001
-0.996,0.10618,8e-05,-8e-05,9e-05,-9e-05
-0.597,0.10809,7e-05,-7e-05,9e-05,-9e-05
-0.2,0.1094,7e-05,-7e-05,8e-05,-8e-05
0.198,0.10952,7e-05,-7e-05,9e-05,-9e-05
0.596,0.10873,8e-05,-8e-05,9e-05,-9e-05
0.995,0.10726,8e-05,-8e-05,9e-05,-9e-05
1.39,0.10644,9e-05,-9e-05,0.0001,-0.0001
1.78,0.1002,0.00011,-0.00011,0.00013,-0.00013
2.18,0.09861,0.00014,-0.00014,0.00016,-0.00016

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],40.0-50.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=C4)','stat +','stat -','sys +','sys -'
-2.19,0.08402,0.00019,-0.00019,0.00019,-0.00019
-1.79,0.08409,0.00016,-0.00016,0.00016,-0.00016
-1.39,0.08547,0.00012,-0.00012,0.00012,-0.00012
-0.996,0.0869,0.00011,-0.00011,0.00011,-0.00011
-0.597,0.08838,0.00011,-0.00011,0.00011,-0.00011
-0.2,0.08864,0.0001,-0.0001,0.0001,-0.0001
0.198,0.08878,0.0001,-0.0001,0.0001,-0.0001
0.596,0.08816,0.00011,-0.00011,0.00011,-0.00011
0.995,0.08777,0.00011,-0.00011,0.00011,-0.00011
1.39,0.08679,0.00012,-0.00012,0.00012,-0.00012
1.78,0.08492,0.00016,-0.00016,0.00016,-0.00016
2.18,0.08351,0.00019,-0.00019,0.00019,-0.00019

#: PT [GeV],0.3-3.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],40.0-50.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'ETARAP',' V2(V=LYZ)','stat +','stat -','sys +','sys -'
-2.19,0.08753,0.00052,-0.00052,0.00052,-0.00052
-1.79,0.08704,0.00041,-0.00041,0.00041,-0.00041
-1.39,0.08619,0.00029,-0.00029,0.00029,-0.00029
-0.996,0.08605,0.00025,-0.00025,0.00025,-0.00025
-0.597,0.08697,0.00024,-0.00024,0.00024,-0.00024
-0.2,0.08779,0.00023,-0.00023,0.00023,-0.00023
0.198,0.08771,0.00023,-0.00023,0.00023,-0.00023
0.596,0.08703,0.00024,-0.00024,0.00024,-0.00024
0.995,0.08645,0.00026,-0.00026,0.00026,-0.00026
1.39,0.08508,0.0003,-0.0003,0.0003,-0.0003
1.78,0.08554,0.00042,-0.00042,0.00042,-0.00042
2.18,0.08351,0.00053,-0.00053,0.00053,-0.00053

